gene,DUX4_siNC_1,DUX4_siNC_2,DUX4_siHNRNPU_1,DUX4_siHNRNPU_2
SSU72P7,64.73812779,54.18225451,38.05958194,29.59452642
SSU72P8,21.03989153,17.04278187,12.830284,11.74913783
TAF11L11,120.6158644,120.5388035,85.39308587,80.12109812
TAF11L12,84.71809698,85.06813157,58.31956279,51.84971299
TAF11L13,40.67422129,41.31613487,23.56002278,17.59530028
TAF11L14,62.16331589,62.19018276,30.5809672,26.1987636
TAF11L2,13.15381927,14.19035473,8.452026111,4.996196376
TAF11L3,2.518816456,5.116250346,1.479104569,0.868903717
TAF11L4,4.57118542,4.440519168,1.16215359,0.868903717
TAF11L6,5.504080404,3.957854041,3.380810444,2.932550047
TAF11L8,2.518816456,3.571721939,1.267803917,0.868903717
TAF11L9,4.104737928,4.440519168,2.535607833,1.194742612
TEX37,4.60625666,3.899789063,4.189075159,3.006455861
TRIM43,75.36204613,72.79249198,30.5157194,31.40960362
TRIM43B,43.23951471,48.61253845,18.98247537,17.1823366
TRIM48,12.22454903,11.31390747,3.998508365,2.652022082
TRIM49,182.0670715,181.1501801,101.0979842,93.05103167
TRIM49B,15.06979226,13.88776254,7.001655303,5.728404498
TRIM49C,187.2940006,177.1536326,105.7927565,104.9821884
TRIM49D1,121.321958,123.5427785,81.63962977,76.61776357
TRIM49D2,173.6595031,172.1576173,112.2787805,104.1948314
TRIM51,8.299353566,8.524993766,3.44286271,3.220860553
TRIM51GP,0.58264315,0.21278849,0.504585959,0.438930055
TRIM64,92.77467404,85.93847869,61.10092188,55.92881332
TRIM64B,91.62867469,91.40679506,68.98416255,62.74404153
TRIM64C,0.082326431,0.212971974,0.186469312,0.143773703
TTC39C,12.8232178,12.71584903,11.23174087,10.9603446
TYW1B,4.131792455,5.123471087,3.789808703,3.677424551
UCP1,1.305592572,1.350985943,1.439673078,1.000029919
USP17L2,0.495704251,0.995705305,0.429294337,0.203691958
USP17L7,0.027543932,0.51302863,0.062386988,0.03206822
USP29,0.286049463,0.310794694,0.129580369,0.133214052
VIT,0.045035442,0.124270008,0.170008746,0.069910447
ZNF705A,3.791724404,3.84413239,1.738512813,1.322575401
ZNF705D,0.06596841,0.15358956,0.018677301,0.038402096
ZNF705E,20.58179908,22.33547599,10.9031321,8.741040128
ZNF705G,0.305674152,0.300486857,0.034617588,0.053382497
ZSCAN5C,122.4263431,122.3271396,62.60652951,52.8811381
