gene,Zygote,2C,4C,8C,Morula,ICM
MLT2A1_dup2089,1.33335718,2.025960385,2.205377019,12.1852229,1.053726861,0.007044453
MLT2A1_dup2128,0,0.003418704,2.50114843,0.875230491,0,0
MLT2A1_dup2194,0.070345549,0.178183448,0.599872522,0.701838015,0.10006366,0.021757894
MLT2A1_dup2195,0,0.18104006,0.008447894,0.04162625,0,0
MLT2A1_dup2243,0,0,0.289201811,0.477298219,0.108782901,0
MLT2A1_dup2319,0,0.040306638,10.18290927,3.534371874,1.163978736,4.478042357
MLT2A1_dup2322,0,0,0.052853363,14.53022584,1.377554768,0.007504039
MLT2A1_dup2327,0,0.001722501,0.06681498,0.029294769,0.006302086,0
MLT2A1_dup238,0,0.118741123,10.54621246,0.626383583,0.019755875,0.08781363
MLT2A1_dup2416,0,0,0.667812404,1.313902166,0,0
MLT2A1_dup2417,8.41433958,12.20909789,17.21104116,37.17398939,15.02196921,6.228411187
MLT2A1_dup2420,0.042486059,0.027536482,0.042984683,2.424208206,4.577687493,4.036644715
MLT2A1_dup2474,0,0,0.147136559,6.449616136,0,0.027989696
MLT2A1_dup2477,0,0.028706705,13.73162846,114.1946521,63.67141259,21.38235409
MLT2A1_dup2483,0,0.0285538,0.082672499,0.931103335,0,0
MLT2A1_dup2591,0.026860036,0.027251856,0.87478641,1.305808666,0.188054899,0.008654709
MLT2A1_dup263,0,0.444027628,1.369708103,0.549930059,0.024547452,0.124442299
MLT2A1_dup2680,0.008398502,0.005184953,1.915106551,6.793226089,0.199186056,0
MLT2A1_dup2699,22.95320823,18.06811284,9.039382044,2.607462264,0.032864538,0.006754228
MLT2A1_dup2728,0,0.025203099,3.618451305,4.217154264,0,0
MLT2A1_dup2737,0.016772731,0.516479355,0.364354846,1.688919376,0,0
MLT2A1_dup2760,0,0,1.856178782,7.79011406,0,0
MLT2A1_dup2805,0.005861985,0.003618992,9.809941167,31.57541633,0.015545279,0.008637224
MLT2A1_dup2833,0,0,4.184128664,4.741011843,7.742176236,1.511338135
MLT2A1_dup2841,0,0,0.377673529,0.478754072,0.174059701,0.024292194
MLT2A1_dup2842,1.601850277,2.262884047,5.633098342,9.910085901,0.062420664,0
MLT2A1_dup2844,0.00957651,0.022215209,15.62450948,18.32384983,2.812222223,0
MLT2A1_dup2847,6.033755173,10.73705613,7.955299363,12.74883863,0.241893787,0
MLT2A1_dup287,0.129295836,0.119091998,1.373493321,230.2843681,163.8265615,0.043626797
MLT2A1_dup2886,0.055446162,0.12551218,0.309659158,7.297859051,7.606133835,0.375801368
MLT2A1_dup2893,0.385769457,0.677825619,2.136887393,59.65621153,10.35186405,0.02006969
MLT2A1_dup2911,0.036262907,0.107299343,7.625572742,88.87628888,0.760169346,0.007682706
MLT2A1_dup2912,0.062265317,0,2.334436191,14.55390112,0.915875713,0
MLT2A1_dup2926,0,0,0,1.117518697,0,0
MLT2A1_dup2942,0,0.006659484,2.492674459,16.21551228,0.012182472,0
MLT2A1_dup2948,0.005138625,0.155306015,3.708282028,3.950199378,0.006569262,0
MLT2A1_dup2972,0,0,0.935005646,3.954587732,0.215942732,0
MLT2A1_dup2973,0,0,2.030100487,4.711604151,0.210149644,0
MLT2A1_dup3014,0,0.023079908,1.179390945,23.10633387,2.991771055,0
MLT2A1_dup3049,0.004121318,0.088368647,2.554116988,1.587621745,0.563680826,0
MLT2A1_dup3062,0,0.007511116,6.962357409,36.00117487,0.655364681,0
MLT2A1_dup3085,0,0.016521095,0.417987867,9.318789032,0.398934336,0
MLT2A1_dup3133,0,0,2.18519988,1.765491305,0.223035996,0.016603596
MLT2A1_dup3169,0,0,2.167052206,2.926036627,0.022142465,0
MLT2A1_dup3182,9.528548108,15.91191105,9.962495969,1.203778313,0.043677299,0
MLT2A1_dup3242,4.915957,8.08700598,10.34068826,2.645124059,0.632009227,0
MLT2A1_dup3259,0,0,3.005617845,22.65785137,6.94704432,0.019839564
