gene,Zygote,2C,4C,8C,Morula,ICM
dup2911,0.007818383,0.139148157,7.610879846,102.3686389,0.769154695,0.00967291
dup2932,0,0.24897908,0.215672216,0.319532769,0.019046815,0.010280351
dup2972,0,0.008060297,0.748731019,3.510308553,0.119266458,0
dup2973,0.005829168,0.003784767,0.436050075,1.297739847,0.041260476,0.033243171
dup2974,0.006128983,0.003979432,0.340327674,1.020357189,0.001937384,0.034952988
dup3014,0,0.084358271,1.564878719,43.20804674,2.840727626,0
dup3048,0.00392473,0.084153447,2.430810486,1.495594613,0.507984265,0
dup3052,0,0,0.108950355,0.501877291,0.08080914,0
dup3062,0,0,1.103760587,6.4998179,0.206751953,0
dup3133,0.044304168,0,2.818873456,1.946447359,0.160476672,0.018271052
dup3163,12.06792268,13.77489422,9.811503956,0.788764019,0.483540917,0.051020538
dup3182,9.455572356,15.7900474,9.886196766,1.194559004,0.04334279,0
dup3318,0,0,1.745927818,0,0.017777981,0
dup3319,0,0,1.349365115,0.06708148,0.050082566,0
dup3334,0.014474241,0.035696794,0.507713526,0.257082378,0,0.017651702
dup335,1.58476575,1.865263146,1.362541585,0.25940651,0.391150665,0.151376933
dup3353,0,0.0074332,5.827298541,35.78323988,9.153752353,0.017233451
dup3401,0.005150112,0.086319945,8.946590466,25.89556428,0.608906934,0.006371723
dup3448,0.096835081,0.180614273,6.716653602,3.720934614,0.280257659,0.083643412
dup3449,0.112233305,0.189420766,5.957631662,2.997973862,0.151969449,0.092576797
dup3456,0,0.007372021,0.860464647,24.88685465,65.554739,3.80690892
dup346,0.013878414,0.410079773,3.8289412,91.3153194,9.313386172,0
dup349,0.010867363,0,5.309783348,30.42462431,0.048962926,0
dup3502,0,0.204201163,10.93118482,32.91115407,4.204623968,0
dup3505,0.034097327,0.128724505,3.77435121,8.406878404,2.65733582,0.02009601
dup3525,0.078272369,0.121969802,3.358860025,1.199144541,0.017429022,0
dup353,0,0,0.376887051,1.159521056,0,0
dup3543,0,0.015554858,10.36841195,13.82587531,4.936420837,0
dup3554,0.014918676,0.009210289,15.14296999,24.65213821,0,0
dup3577,0.477216234,1.049387555,1.334936431,2.367634569,4.225551624,1.647613991
dup3650,0,0,4.28588599,25.30173971,1.134054819,0
dup3653,0,0,0.619525624,4.76761565,0,0
dup3661,0,0,0.095007715,1.351448847,0,0
dup3711,2.007611864,2.716762307,4.744389059,10.67973657,7.696713505,8.296828159
dup44,0.063080054,0,0.435513981,2.141210593,0.057971775,0.013277721
dup455,0.005885766,0.003633674,0.331629735,0.020045852,0,0
dup46,0,0,0.88910119,1.1820085,0.213544378,0
dup493,0.098760459,0.021971246,0.111884556,1.383213239,0.273027511,0.09250934
dup497,0,0.021618413,0.488620903,0.809112236,0.048017497,0
dup501,0,0,0,0,0,0
dup527,0,0,4.521112228,1.979223829,0.051730509,0.027921087
dup537,0,0,0.6678337,49.72667134,13.16251951,0.021744826
dup621,0.060626756,0.069141797,0.2717554,0.404618522,0,0
dup622,0.052759161,0.060169198,0.256196885,0.471235261,0,0
dup723,0,0,1.340713041,3.447344616,0.355652623,0
dup73,0,0.022102046,6.10518038,4.540194845,0.33723916,0
dup816,0,0,0.942195353,0.454684286,0.014004636,0
dup821,0.834228859,0.637955331,1.219110627,0.084569782,0,0.007918516
dup833,0.066761548,0.07456313,0.768469426,0.265043343,0.306471729,0.015826352
dup834,0.056920007,0.05947992,1.088900227,0.371464425,0.289425575,0.015149849
dup872,53.02434728,56.51622338,61.63974109,9.946697799,17.67753221,10.34301808
dup9,0.033445822,0.046352845,0.769390156,0.196573675,0.011712197,0.006507498
dup902,0.047016668,0.006093201,1.15889956,0.011628176,0,0
dup944,0,0,0.693227895,0.205834634,0,0
dup960,0,0,0.028266529,1.331784437,0,0
