gene,logFC,logCPM,PValue,FDR
ANXA3,-1.772598413,5.485044615,3.58E-102,8.27E-100
MT-ATP6,-1.089266511,11.57913668,3.61E-102,8.28E-100
PIEZO1,-1.557371888,6.106124463,5.22E-102,1.19E-99
SALL3,-1.771550082,5.095298674,5.63E-102,1.28E-99
CNTNAP3,-2.172240287,3.794543173,2.01E-101,4.56E-99
ASS1,-1.349627636,5.526222506,2.11E-101,4.75E-99
FAM83H,-1.333381473,6.270581384,4.74E-101,1.06E-98
SRSF6,-1.180211426,7.07168243,5.29E-101,1.18E-98
MYL9,-1.214867151,6.642381566,6.96E-101,1.55E-98
SACS,-1.47415382,6.833814666,7.9E-101,1.75E-98
NES,-1.241195224,8.700951558,3.95E-100,8.68E-98
LNPK,1.766848515,4.399654035,8.49E-100,1.84E-97
NOL4,3.438236623,2.392733148,1.75E-99,3.75E-97
FAM47E-STBD1,2.492649576,3.261492111,3.74E-99,8E-97
KIRREL1,-1.285289777,5.759279451,3.41E-98,7.27E-96
ZBED1,-1.593056491,5.086150813,2.83E-97,5.97E-95
SLC1A5,-1.202279241,8.008133662,6.68E-97,1.4E-94
LMNA,-1.280976956,6.746800012,7.95E-97,1.66E-94
MAP3K1,1.558974269,5.310501069,3.16E-96,6.55E-94
GABRA2,2.493670069,3.564519186,1.43E-95,2.96E-93
UPK1A,4.234528769,2.464751406,4.8E-95,9.78E-93
KLHL21,-1.226986294,6.127536266,7.79E-95,1.58E-92
ESPN,1.91375864,4.414363759,1.62E-94,3.25E-92
EFNA1,3.193587916,2.671111519,3.56E-94,7.13E-92
FGFR3,-1.522695663,4.736506181,7.44E-94,1.48E-91
PRSS23,-1.679555356,4.364285813,1.62E-93,3.21E-91
MT-ATP8,-1.038546644,10.23929604,6.51E-93,1.29E-90
CORO2A,1.246824365,5.775029194,8.39E-93,1.65E-90
RASEF,2.031130689,3.946983298,9.68E-93,1.9E-90
TMEM64,-1.331959136,5.990407723,4.6E-92,8.94E-90
GBE1,1.864899155,5.120851557,1.61E-91,3.11E-89
STBD1,2.502373898,3.284500737,1.81E-91,3.49E-89
TNFAIP8,1.829272567,4.145717963,2.82E-91,5.41E-89
SLC3A2,-1.048259421,8.340960957,4.3E-91,8.22E-89
CXCL14,-3.100108326,2.45118452,5.15E-91,9.79E-89
ZC3H6,2.684403792,3.454874373,7.32E-91,1.39E-88
ONECUT1,3.068333162,2.913581335,7.6E-91,1.43E-88
SF1,-1.269950165,7.698835969,1.09E-90,2.04E-88
HHEX,4.889132462,1.99381538,1.21E-90,2.25E-88
GRAMD1A,1.116133036,7.043325158,8.97E-90,1.66E-87
MRNIP,-1.174238733,7.059380601,1.99E-89,3.67E-87
INTS13,1.204918752,6.250070098,3.06E-89,5.61E-87
KLF18,-1.240087814,6.039674926,4.16E-89,7.59E-87
GRIN2D,1.787087514,3.965412436,5.81E-89,1.06E-86
MMP24,-1.598929044,5.564341411,7.62E-89,1.38E-86
SLC6A9,-1.800792029,4.089893998,1.29E-88,2.3E-86
TNC,-1.488085085,4.695782615,1.49E-88,2.65E-86
HELZ,1.286687147,6.258483628,2.51E-88,4.44E-86
SAMD4A,-1.82336185,4.383419479,2.83E-88,4.99E-86
SRSF2,-1.039183345,8.052328372,4.92E-88,8.65E-86
DUOX2,5.137220999,1.513722755,2.2E-86,3.83E-84
VLDLR,1.097814816,6.855614,3.15E-86,5.46E-84
PDXP,1.240498831,5.62423289,4.05E-86,6.99E-84
TRIM43,-1.425592285,4.964390662,1.14E-85,1.95E-83
ERBB2,-1.037579541,7.449208503,1.48E-85,2.53E-83
FBXO16,1.771826076,4.530609323,1.57E-85,2.66E-83
TNIP1,1.295408757,5.438060077,2.27E-85,3.84E-83
ALCAM,-1.256131149,5.465182862,3.04E-85,5.13E-83
MT-ND5,-0.981660879,10.55872645,3.25E-85,5.46E-83
DLL3,1.505097338,4.63625252,7.1E-85,1.19E-82
SESN1,1.527502821,5.017937638,1.92E-84,3.19E-82
KCNH2,2.167984527,3.338982881,1.97E-84,3.26E-82
LDB2,1.637935379,4.972909153,2.59E-84,4.28E-82
ZBTB2,-1.534113536,4.425594618,4.41E-84,7.25E-82
NECTIN3,-1.279343605,5.896946225,4.84E-84,7.94E-82
ALDH16A1,-1.283227588,5.194710409,6.7E-84,1.09E-81
THBS1,-1.166845316,6.478188476,1.48E-83,2.41E-81
RFPL1,-1.170018164,6.393774605,4.02E-83,6.49E-81
ZNF783,1.534975298,4.578582915,4.45E-83,7.16E-81
RNF43,2.9611681,2.465072203,7.02E-83,1.13E-80
TMEM45A,2.000309486,3.898073061,7.46E-83,1.19E-80
PRTG,2.352991171,3.149968466,1.05E-82,1.68E-80
SHISA9,-1.375125115,5.014970204,2.65E-82,4.21E-80
ELMSAN1,1.532773348,4.831137133,3E-82,4.74E-80
