gene,logFC,logCPM,PValue,FDR
GSTZ1,0.240553096,3.726981883,0.006827129,0.021669363
STAMBP,0.17145018,5.525593632,0.006846241,0.021725566
FSCN3,0.219789801,4.537757124,0.006852044,0.021742496
HIKESHI,0.213337307,4.852767417,0.006856165,0.021754085
SIRT4,1.051593875,-0.100074137,0.006902414,0.021891846
METTL26,-0.248586642,4.548822635,0.006912473,0.021922252
WDR26,0.148231557,6.738297899,0.00692393,0.021955585
WFDC6,2.240529135,-2.181870351,0.006925498,0.021959057
ECSCR,-0.482082806,1.330616132,0.006941464,0.022008179
JAK2,0.41565957,2.641115712,0.006943932,0.022014498
NAXD,-0.1939452,4.766720469,0.006980958,0.022122815
DYNC1LI1,-0.193675341,5.275494117,0.006982106,0.022123432
C20orf194,0.24004964,3.807193457,0.006983324,0.022125778
DNM1,-0.19117808,5.696893064,0.007002277,0.0221828
CD37,-0.197893509,4.783252575,0.007041179,0.02229843
SPON2,-0.698856902,0.146088425,0.007049258,0.022320967
SAMD12,0.299742943,2.90415974,0.007050329,0.022322836
CCDC113,0.271096339,3.29054744,0.007051383,0.022324649
ADAMTS8,-0.33838861,2.482516741,0.007065741,0.022367053
ABTB2,-0.204496192,5.11405628,0.007071557,0.022383937
AC007325.4,0.556342112,1.087803401,0.007079949,0.022407446
COL6A6,1.780764016,-1.775153896,0.007089013,0.022433072
MICU2,0.209781896,4.887666085,0.007098245,0.022459223
CCT3,-0.140698881,8.444120241,0.007105883,0.022481856
PRRX2,-0.564318825,0.90665155,0.007117074,0.022511123
ANKAR,0.612095334,1.252783801,0.007117605,0.022511268
C2orf68,0.204651341,4.387438436,0.007120088,0.022514573
CPN1,1.328822237,-1.250905794,0.007120105,0.022514573
SLC25A28,-0.412699849,2.343556239,0.007124476,0.02252618
MRFAP1L1,-0.216775148,5.182318711,0.007135015,0.022551322
CCT6A,-0.155781149,8.1599954,0.007135129,0.022551322
CLEC18C,-1.440055422,-1.304766899,0.007140553,0.022566622
ECI2,0.175516462,5.148816647,0.007140942,0.022566622
MT1M,-0.302535482,4.284970123,0.007147997,0.022585839
TMEM262,-0.25389865,3.548951899,0.007153018,0.022598627
HEXB,0.164128768,6.059186566,0.007160158,0.022618106
TSSK4,0.69957859,1.276019858,0.007164959,0.022631732
AGFG1,-0.153934203,6.585347915,0.007166218,0.022634145
GPX3,-0.189235184,4.816398518,0.007171424,0.022647527
TBC1D3,-1.413957277,-0.867359164,0.00717516,0.022657782
SHANK1,-0.797855967,0.472990911,0.007178728,0.022667509
MRPL35,-0.193611449,5.001989468,0.007207414,0.022747252
PHKB,-0.164368585,5.625407169,0.007221915,0.022788367
BSPRY,0.455843831,2.277316341,0.007226597,0.022800358
IFI27L2,0.500059043,1.185648027,0.007226697,0.022800358
UQCC1,0.187588822,4.811897164,0.007228579,0.022804745
EID1,0.163525572,6.556826434,0.007229316,0.022805517
PRR26,1.46729369,-1.360321021,0.007229834,0.022805604
NSUN5,-0.172703581,5.474954939,0.007241157,0.022839766
ZBTB46,0.212981097,4.622094326,0.00725442,0.022875379
PPM1F,-0.194526295,4.644007766,0.00728875,0.022978948
DNAJC1,0.247555877,3.611825988,0.007293305,0.022991748
MLLT11,-0.227290288,5.008701715,0.007300019,0.023009786
ZNF287,-0.508482654,1.345357477,0.007324361,0.023078676
PTPN23,-0.172638259,5.919559351,0.007331089,0.023095168
KDM4A,0.149738264,7.032792924,0.007341286,0.023125725
CD52,1.216998996,-0.907599493,0.0073493,0.023147827
ABCC8,0.831170712,0.01323644,0.007365949,0.023198691
CAPG,0.24442752,4.541196309,0.007369293,0.023207647
MED26,-0.270263139,4.005989222,0.007381907,0.023243893
FAM160A2,-0.229250035,3.998612086,0.007382305,0.023243893
C1QTNF3,0.6421166,0.447004276,0.007435162,0.023399205
HSD17B1,-0.386795206,3.058176903,0.007439513,0.023409913
DDX17,0.142522731,8.675400708,0.007439574,0.023409913
KIAA1328,0.422341775,2.197922239,0.007451028,0.023439599
TBC1D4,-0.164978304,5.761831046,0.007453213,0.023444882
USP33,-0.156905039,6.010151413,0.007460835,0.023467267
BDKRB2,1.394349995,-1.341320204,0.007461351,0.023467298
CMIP,0.185999714,6.012902178,0.007464305,0.023474998
ECHDC3,0.463957205,2.468968446,0.00747258,0.023499216
KCNJ14,-0.567101488,0.957047476,0.007473018,0.023499216
MDGA1,1.089165998,-0.117435854,0.007480259,0.023520393
MVD,-0.179545349,6.405288892,0.007486938,0.023539797
ACSL5,-2.512957533,-2.438804636,0.007495688,0.023562518
C3orf14,-0.317572932,2.644128011,0.007499401,0.023572595
CCL22,-1.986738773,-1.853577485,0.007506062,0.023591934
SCRN1,0.141584376,7.442444621,0.007525079,0.0236485
SORCS1,-0.323064776,2.746041566,0.007539903,0.023691878
UNC93A,1.806023166,-1.993737319,0.007546703,0.023710033
SCX,-0.606893608,1.456123932,0.00755941,0.023746743
CARMIL2,-0.199260307,4.699866216,0.007579098,0.023806976
CALHM5,-1.771656006,-1.880426634,0.007591769,0.02384355
GPR156,0.741818199,0.17964364,0.007627454,0.023950762
GPR82,2.022920914,-2.323020884,0.007630737,0.023959449
AC126283.2,0.241009075,3.749097593,0.007633174,0.023965482
KIF4B,0.848358957,-0.322874209,0.007640965,0.023988318
PLPPR1,0.989959268,-0.552602717,0.007641868,0.023989531
UBXN10,-0.718632539,0.139205625,0.007647337,0.024005075
HARBI1,-0.331209805,3.213214101,0.007649903,0.024011507
CSNK1G3,0.173217692,5.445577302,0.007652625,0.024018424
GAD1,1.081701161,-0.63050056,0.007659935,0.024039741
ZNF185,-0.257649448,3.44265872,0.007671921,0.024075731
PRDX6,-0.154326298,8.214570276,0.00768525,0.024115929
NTHL1,-0.208881373,4.308277041,0.007692115,0.024134205
PTPRT,0.689156088,0.357914356,0.007695468,0.024141462
C11orf58,-0.143050304,7.331463206,0.007698186,0.024148354
MDM4,0.172525503,5.378457328,0.00772511,0.024216444
LCP2,1.168050637,-1.182158573,0.007743985,0.024273972
FHAD1,1.097458134,-0.93585058,0.007750112,0.024289897
MAPK3,0.200074611,4.774309308,0.007756558,0.024308456
SPATA12,0.821351241,-0.124087577,0.007764613,0.024330413
TUT4,0.162433272,5.680003185,0.007765553,0.024331717
OVOL3,-1.008083991,-0.323026656,0.007787382,0.024396817
TSC22D4,0.206616933,4.37981243,0.00778798,0.024397045
PFKFB1,1.122115556,-1.008794639,0.007798746,0.024427474
LIN37,-0.52400746,1.318388032,0.007800756,0.024429681
SUGT1,-0.157273307,5.999827394,0.007807587,0.024446913
FAM76B,0.210022292,4.615294732,0.007808117,0.024446923
NBPF19,-0.35221254,2.44830316,0.007817583,0.02447491
SPIRE2,-0.315476313,2.837772451,0.007820106,0.024479505
CCNB1IP1,0.152527529,6.807928858,0.007831419,0.024512289
NDUFC2,-0.246466584,5.425619152,0.007831635,0.024512289
NEPRO,0.168611505,5.473956991,0.007841332,0.024538906
NOL10,-0.207889283,5.162496184,0.007873056,0.024626982
TRIM41,-0.224330183,4.465828763,0.007902673,0.024717959
SDR39U1,-0.191590064,4.828851453,0.007904874,0.024723178
FAM50A,-0.180536918,5.100370457,0.007905594,0.024723763
MED10,-0.20413611,4.338692673,0.007906245,0.024724131
DPAGT1,0.188442226,5.095755963,0.007915617,0.024751772
TCF21,-1.674825982,-1.631600117,0.007920741,0.024766125
LAYN,-0.603217769,0.730895092,0.007927421,0.024785342
NRGN,-0.832374975,-0.32306584,0.007932956,0.024799306
SHMT1,-0.20852699,4.932954144,0.007934204,0.024801537
FUCA1,0.287710904,3.015489071,0.007935961,0.024805357
SEMA3G,-0.828315522,0.816312698,0.007964997,0.024889409
ZNF24,-0.153436536,6.371765929,0.007965672,0.024889842
CDC37,-0.157390557,6.755707277,0.007980953,0.024932553
LAMC1,0.14424684,7.686184022,0.007982424,0.024934445
FOCAD,0.172012549,5.703877889,0.007983422,0.024935229
KCNE4,-3.008956828,-2.801270922,0.0079876,0.024935563
DNAH14,0.2435762,4.296119692,0.008010323,0.025004107
APTX,-0.180981329,4.986911385,0.008017903,0.025026083
FLT3,-1.429171592,-1.608707197,0.008023907,0.025043138
MYO5B,-0.207023735,4.367809912,0.008032427,0.025066358
DNTT,-0.782162572,-0.117050207,0.008048434,0.025111244
CHMP3,-0.238876781,3.967649786,0.008065508,0.025161131
AC005020.2,-0.437713336,1.528339708,0.008088248,0.025223593
COL19A1,-2.301938153,-2.323041393,0.008091391,0.025230002
AMER2,-1.748370491,-1.775639578,0.008100785,0.025251847
BANK1,-0.710807468,0.006194219,0.008135249,0.025251847
OR5H2,5.365810223,-3.438500146,0.008140298,0.025251847
SFTA2,5.361724944,-3.438560214,0.008140298,0.025251847
RAB7B,-5.356837666,-3.438569434,0.008140298,0.025251847
AKR1B10,-5.356837666,-3.438569434,0.008140298,0.025251847
TRIM55,-5.356837666,-3.438569434,0.008140298,0.025251847
PYHIN1,-5.351323322,-3.438650953,0.008140298,0.025251847
ABCB4,1.188421408,-0.922119175,0.008146924,0.025270714
TCP1,-0.145968095,8.392125774,0.008147499,0.025270808
DPP6,0.558541398,1.503518457,0.008174946,0.025352551
ZNF681,0.325969246,3.078089576,0.008182607,0.025372918
SYNJ2BP-COX16,0.224838143,5.185371561,0.0081969,0.025412141
TMEM40,-1.591432574,-1.775614327,0.008202069,0.025426469
SNX21,0.250830736,3.622446201,0.008243524,0.025546447
KCNT2,0.315802818,3.559889045,0.00824414,0.025546649
CCDC12,-0.228936672,4.059938055,0.008260404,0.025593628
GALNT3,0.217951097,4.182957045,0.00830011,0.025709766
GXYLT1,-0.195122822,4.624462359,0.008317727,0.025760916
MBTPS2,-0.256460057,3.725811674,0.008320083,0.025766492
PPP2R5C,0.167066747,6.13398817,0.008343497,0.025835555
GPBP1,0.15480346,6.445623244,0.008355069,0.025869663
CIDEB,-0.189158445,4.878762104,0.008365264,0.025896408
VPS51,-0.151771779,6.196337225,0.00837544,0.02592463
DDT,0.20834519,5.139812856,0.008375615,0.02592463
IZUMO4,-0.985956249,-0.827054736,0.008382028,0.025941053
EI24,0.144980648,7.122953304,0.008390912,0.02596505
GOLGA6C,1.51109105,-1.654015193,0.00839585,0.025978597
TMEM167A,0.140290561,7.78230203,0.008397041,0.02598055
TMEM259,-0.161165483,6.739145376,0.008400449,0.025989363
HCN1,0.440819316,1.67658431,0.008401513,0.02599092
RASSF10,-0.745236817,0.571839222,0.008403268,0.025994268
TBC1D3E,-0.885817602,-0.5752409,0.008403715,0.025994268
FAF1,0.166840316,5.819265257,0.008424367,0.026054673
SCN8A,0.225990065,4.04804354,0.008443164,0.026105849
TCTN1,0.318298316,3.247595432,0.008452321,0.02613242
AC025165.6,0.529016575,1.559002367,0.008470751,0.026184167
LIFR,0.196743627,4.454552921,0.008472426,0.026187602
TRMT112,-0.185050929,5.891551399,0.008476983,0.02619994
CDKN2AIP,-0.263225154,4.029085886,0.00848201,0.026211985
ATP2B2,-1.720835958,-1.701821397,0.008485141,0.026218169
CNOT11,-0.159063255,5.827778052,0.008494132,0.026244205
TCERG1L,-0.366713396,2.362020184,0.008508029,0.02628364
RAB29,0.333676942,3.272126478,0.008513998,0.02630033
AC010422.5,0.177823262,4.991761121,0.008514943,0.0263015
ZNF57,0.386902434,1.988226671,0.00851664,0.026303238
CLNS1A,0.190712199,6.296638734,0.00851728,0.026303464
ADH5,0.152909453,7.640702024,0.008549903,0.026393673
RO60,0.162365162,5.876592207,0.008577848,0.026476417
HDAC6,0.207404515,4.637862159,0.008585117,0.026494329
DNAH12,-1.637135263,-1.853723681,0.008585364,0.026494329
PIH1D2,-0.568018134,1.055951025,0.008590886,0.026509609
MTERF3,0.221888026,3.965343087,0.008617291,0.026585785
DBH,1.042976079,-0.88082566,0.008628412,0.026616554
ZNF556,3.513533212,-3.084963017,0.00865012,0.026642782
KPNA7,3.512458808,-3.085043186,0.00865012,0.026642782
ADH1B,3.509012293,-3.085103043,0.00865012,0.026642782
ROS1,-3.50326707,-3.084907546,0.00865012,0.026642782
CCIN,-3.50326707,-3.084907546,0.00865012,0.026642782
CIDEA,-3.502104908,-3.084927856,0.00865012,0.026642782
SERPINB7,-3.497455162,-3.085009096,0.00865012,0.026642782
AL662899.1,1.918488008,-2.216191042,0.008674855,0.026715421
KDELR2,0.157826561,6.557923326,0.008678691,0.026725461
AC132217.2,0.510204852,1.19202988,0.008724504,0.026864756
KLC4,0.194200753,4.541443401,0.008734057,0.026892389
PIM3,0.173543573,5.5915103,0.008746165,0.026927882
TMEM192,0.2557418,3.608272579,0.008770505,0.026999238
UBA7,1.024732515,-0.563965948,0.008802871,0.027093481
MRRF,0.193327599,4.5594609,0.008809688,0.027112666
CFAP69,0.441633225,1.581946474,0.008844857,0.027217291
CCDC96,-1.562564083,-1.701582444,0.008849768,0.027230597
CDC42SE2,0.172948302,5.113334898,0.00886507,0.027274064
SPARCL1,0.785115645,-0.100533367,0.008870977,0.027290429
LRP5,-0.174692566,5.419036421,0.00887316,0.027295334
KIF26B,-0.776422698,0.028464704,0.008886412,0.027334289
ZNF41,0.343964503,2.303080446,0.008908825,0.027399598
SLC36A4,-0.225530947,4.630213567,0.008913713,0.027412813
AL512785.2,-0.358955457,2.615897071,0.008918059,0.027422545
ZNF780A,-0.290287608,3.553054535,0.0089226,0.027434689
PIP4K2C,0.17954792,4.857362827,0.008923906,0.02743507
AREG,-0.403184443,1.768599969,0.008928365,0.02744696
OR6V1,-1.182119209,-0.520806487,0.008946171,0.02749598
HSPA12A,0.379834824,2.634306464,0.008946453,0.02749598
RPN1,-0.14177601,7.319296836,0.008946682,0.02749598
AGPS,-0.178995306,5.948630281,0.008958118,0.027527481
NDUFS6,-0.320606259,4.901698606,0.008996129,0.027629649
SLC35D3,-1.370621481,-1.564038216,0.009002018,0.027644077
CELA2B,1.250032538,-1.304755647,0.009004909,0.027651125
TSNAX,0.191030563,5.178540643,0.00901245,0.02767245
USP29,-1.336675109,-1.58617008,0.009024907,0.027708866
XPO6,-0.147185477,6.773855229,0.009030341,0.027723715
PSMG2,0.215994494,4.990440734,0.009042278,0.027758526
CPAMD8,0.354008595,2.82199201,0.009043821,0.027761426
HTR2B,-1.417424172,-1.701637499,0.009055869,0.027796571
TTC19,0.157252506,6.03279551,0.009059759,0.02780667
KNDC1,-0.197014554,4.763923901,0.009064221,0.027818527
SGCB,0.181160154,4.965127038,0.009088593,0.027889636
C19orf73,1.102819715,-1.023377292,0.009101076,0.027922402
ZFP90,-0.275280336,3.670643256,0.009137683,0.02803286
NTRK3,0.461898758,1.557174101,0.009165209,0.028109871
GNG4,0.190350815,5.336791244,0.009198912,0.02820951
NUDT22,0.218311894,4.082627052,0.009224166,0.028270141
B3GALT2,1.285918212,-1.479158122,0.009249167,0.028343021
HNF1A,-0.718376321,0.515089127,0.009254656,0.028354222
TDRD10,2.348426681,-2.11625865,0.009265311,0.028381245
KDSR,-0.184087284,5.304871124,0.009275682,0.028410162
ERCC2,-0.149087149,6.298860592,0.00927638,0.028410162
MED13,0.173662821,6.024960972,0.009280593,0.028420553
TNFRSF25,-0.345154231,3.103663389,0.009303166,0.028485921
TULP1,0.78992372,-0.165467867,0.009307953,0.028498698
MPHOSPH8,-0.174025463,5.209285826,0.009315876,0.028521075
NDUFB5,0.19356758,5.055839868,0.009316854,0.028522185
OVCH2,-0.954255868,-0.631642788,0.009352072,0.028626224
NEK4,-0.207968408,4.657100782,0.009357552,0.028639219
DDX6,0.147844154,6.900380579,0.00939275,0.028736089
VSIG10L2,0.375760334,2.007948304,0.009392919,0.028736089
AC005954.1,1.202450498,-1.215991314,0.009416536,0.028802645
FAM200B,0.216232619,4.193987645,0.009459918,0.028927714
DQX1,0.759444516,-0.116462771,0.009462777,0.02893455
AVEN,-0.289434895,3.214967261,0.009478177,0.028977819
RRAS2,-0.153722088,6.996092278,0.009484371,0.028994846
VPS26A,-0.167371587,5.449431509,0.009500707,0.029039047
ZFPL1,-0.249572893,3.590899489,0.009525212,0.029105298
DNAJC5,-0.166359649,5.867844464,0.009525518,0.029105298
JUN,0.148652395,6.39212554,0.009548725,0.029170443
STK11IP,-0.200249967,4.287278546,0.009552258,0.029179315
CBFA2T3,-0.507279499,0.987732883,0.009552918,0.029179412
SLCO1A2,0.448297783,1.483925483,0.009585156,0.029274026
STX10,0.22252623,4.365640137,0.00958923,0.029282666
EHD4,-0.192645786,5.362804268,0.009589403,0.029282666
SIRT3,-0.251656583,3.648054964,0.009589878,0.029282666
SPG11,0.181854688,5.457606455,0.009591728,0.029286388
PCGF3,-0.168247436,5.649766452,0.009612289,0.029345307
STAT3,0.143081291,6.542828329,0.009621842,0.029372537
ERLIN1,0.182527043,5.215663063,0.009626682,0.02938538
CBARP,-0.210045947,4.201841222,0.009627772,0.029386775
LSM14B,-0.180665333,5.662157391,0.009629951,0.029390313
HLX,-2.432213616,-2.479197228,0.009630198,0.029390313
FUT8,0.236241515,3.661167915,0.00964183,0.029423878
SMARCB1,0.147660235,6.47236051,0.009643382,0.029426678
NDUFS5,0.199368282,6.287485407,0.009649809,0.029444354
URGCP-MRPS24,-0.197126884,4.847180138,0.009655582,0.029460031
FLACC1,-2.054737861,-2.286542186,0.009657047,0.029462564
PIK3C2B,0.23454222,4.312352703,0.009673204,0.029504269
SLA,-1.236228479,-1.304700585,0.00967326,0.029504269
MSANTD1,-1.12166912,-0.586089423,0.009674128,0.029504978
ABCC4,-0.261901505,3.613563228,0.009677321,0.029510837
THAP6,0.372187907,3.131211047,0.009681204,0.029520738
F5,1.996113401,-1.8800079,0.009685306,0.029531305
ITGB4,0.313717417,2.598784394,0.009692146,0.029550219
COX11,0.165272985,5.611842928,0.009704788,0.029583481
POU6F2,0.63594341,0.510259062,0.009704968,0.029583481
PPP2R3A,-0.24380522,3.666737248,0.009755676,0.029728288
TAF2,0.169121917,5.177934276,0.009757861,0.029732994
KLF15,0.390333861,1.86934715,0.009758706,0.029733617
ZNF600,-0.266585102,3.165291322,0.009766214,0.029749563
CNIH1,0.159536421,5.854237583,0.009766216,0.029749563
EIF5A2,-0.296540742,2.969595117,0.009787694,0.02980824
ZNF550,-0.239382558,3.734375807,0.009795533,0.029826241
OR1B1,2.266725576,-2.360561829,0.009819183,0.029890407
HBA1,-0.528675577,2.41179983,0.009854564,0.029992209
TTC39A,-0.361551264,2.486029191,0.009857694,0.029999765
SPACA9,0.988444028,-0.45821194,0.009918181,0.030166039
BRCA2,0.189499626,4.907112674,0.009923436,0.030178757
ACAD10,0.218055343,4.054907856,0.009947443,0.030243386
FRAS1,-0.156328615,7.814790409,0.009947522,0.030243386
MEP1B,1.124853859,-0.788712424,0.009953383,0.030259222
ANKRD34B,0.536109512,1.252061028,0.009961211,0.030281037
PPP1R12B,0.192269067,4.465069217,0.009967813,0.030299121
OR5AC2,-2.490530695,-2.438587433,0.009970728,0.030305998
NUCB1,0.153235294,6.307972097,0.009977196,0.030321684
AL132671.2,0.328234755,2.745408437,0.009978448,0.030323505
TRPM8,-2.144504206,-2.438719705,0.009981817,0.030328823
CCDC18,-0.184078656,4.735505127,0.00998311,0.030329727
GPR158,-0.648892476,0.185889434,0.009991031,0.030347832
GNPDA1,0.148574565,6.551219124,0.010011148,0.030404956
TXNIP,-0.215658902,4.244563313,0.010020604,0.030431682
DENND4C,0.196731811,4.642090014,0.010026496,0.030447582
AC078927.1,-0.266410651,4.312611166,0.010029056,0.030453363
RALY,-0.141503827,6.9320641,0.010031095,0.030457562
SGK3,0.255144987,3.73870227,0.01006605,0.0305537
RARA,-0.234959255,4.002989512,0.010069139,0.030557082
SCFD2,0.266136497,3.166601315,0.010079157,0.030585483
PEX12,0.408813681,1.884780741,0.010127578,0.03072791
RSPO2,0.674644184,0.321804859,0.010135056,0.030745057
HTR2A,-1.717344626,-1.801378149,0.010177091,0.030862483
FNTA,-0.178381363,5.539427667,0.0101818,0.030874746
AC142391.1,-0.460112918,1.303983914,0.010188759,0.030893829
PLAGL1,-0.786034429,-0.351213463,0.010189644,0.030894495
PRMT1,-0.133884098,8.016996967,0.010204033,0.030934078
MT1B,-1.743264228,-2.023568321,0.010228347,0.031003736
KIRREL2,0.496050749,1.252669104,0.010232548,0.031014445
AKR7A3,1.133627248,-1.100404415,0.010246906,0.031053908
MRPL52,0.201409581,4.659312824,0.010269324,0.031117783
PAX5,1.396202975,-1.269117353,0.010300848,0.03120923
ANLN,0.155322979,6.635476632,0.010309826,0.031234392
GNAT2,0.560280142,0.686209392,0.010314654,0.031246977
PGLYRP1,-1.134398137,-1.251070915,0.010326462,0.031280708
FMNL2,-0.16201731,6.008590936,0.010334755,0.031303785
NEIL3,0.344741539,3.064628421,0.010348836,0.031344389
PIK3R4,-0.163881156,5.45804179,0.010354115,0.031356286
POLR3E,-0.159172616,5.690462654,0.010392038,0.031464969
GOLGA8J,1.737717799,-1.701004773,0.010397677,0.031477936
MRPS33,0.21369154,4.001120743,0.010431327,0.031571568
ZNF827,-0.179937396,4.904274975,0.010468026,0.031676445
SLC25A16,-0.278886021,3.204021228,0.010475096,0.031695773
ALG1L,-1.168427079,-1.116412036,0.010487534,0.031731339
USP39,0.164799791,6.105141925,0.010526628,0.031837167
ACRV1,-0.845290116,-0.165150564,0.010536838,0.031865141
FBXO22,0.160538365,5.651789918,0.010537251,0.031865141
AC104581.2,0.229077753,4.141861267,0.010600709,0.032034079
PPP3R1,-0.155734217,6.202066873,0.010603931,0.032041727
GCKR,1.232293706,-1.379453594,0.010606347,0.032042265
HTR4,-2.942851004,-2.853623979,0.010611014,0.032042265
GPR180,0.223603256,3.795844857,0.010613689,0.032048258
NPY2R,-0.969973105,-0.763064103,0.010634033,0.032101333
IL24,-2.376780858,-2.28690373,0.01063826,0.032112002
LRRC37A,0.227420667,4.402083138,0.010639686,0.032114219
PUS3,-0.253924599,3.565037195,0.010674779,0.032211761
NLRP1,0.581750003,0.556369845,0.010683741,0.032234611
FER,-0.218880848,4.041450789,0.010686003,0.032239341
RALGPS2,0.165575976,5.318127095,0.010690444,0.032250642
PINLYP,0.449978308,1.354348978,0.010692653,0.032255207
N6AMT1,-0.32438335,3.233546037,0.010697433,0.03226753
ACAT1,0.20703817,4.634743353,0.010720413,0.032330542
HLA-DRB5,0.674257219,0.105819307,0.010734029,0.032369501
ERBB3,-0.18441051,5.397743489,0.010758768,0.032437781
UTP14C,-0.201486425,5.180416511,0.010770881,0.032467813
VPS39,-0.15815789,5.653147635,0.010771528,0.032467813
CES4A,0.978416084,-0.689949479,0.010775763,0.032478469
PHF5A,-0.195561607,5.026363984,0.010777605,0.03248191
RAB32,-0.387842137,1.809162802,0.010787707,0.032510245
AC099489.1,0.352399796,2.15804298,0.010799429,0.032543457
AL441992.2,0.620162415,0.500657665,0.010808467,0.032568578
ADAMTS13,-0.295429086,2.90158767,0.010824999,0.032614158
STARD10,0.306854404,2.967731926,0.010838872,0.032653834
AC124319.1,1.538438626,-1.725913548,0.01084762,0.032675946
ATP5F1A,0.139134764,8.801684035,0.01086162,0.032711749
SNX29,-0.262310916,3.480353343,0.010865486,0.032721268
EBPL,0.180005472,5.090921881,0.010885112,0.032778242
AK1,0.29838215,2.69072466,0.010895993,0.032804625
CFP,0.771103406,-0.26872016,0.010919716,0.03287178
C2CD3,-0.186124337,4.662418898,0.010946729,0.032946687
PRSS53,0.444282522,1.935415021,0.010947946,0.032948212
PRR5,-0.284030346,3.445049131,0.010969316,0.033010386
TBCD,-0.141112195,6.809303707,0.010987617,0.033063315
UEVLD,-0.312256479,2.618552798,0.010988627,0.033064211
AC099811.2,-0.163125096,5.628899144,0.010994188,0.033078797
CNKSR2,-0.24853889,3.538562539,0.011038335,0.033207319
ZNF605,-0.213610853,4.590903451,0.011040117,0.033210526
FCRL5,-0.470093947,1.175768044,0.011060778,0.033264055
AKAIN1,-1.173978656,-1.341673324,0.011078052,0.033305211
SLC9A3,-0.264393731,3.649032455,0.011100553,0.033370696
KIAA1671,0.166052424,5.462665803,0.011103407,0.033377114
AGAP9,-0.251254577,3.392356527,0.011120495,0.033421984
SLC22A13,2.091636565,-2.479186603,0.011130787,0.033450752
MRPL44,0.201897331,5.316421351,0.011132322,0.033453196
EVA1A,0.886223627,-0.489930144,0.011134503,0.033457585
ZNF841,0.215878057,4.037989194,0.011136534,0.03346152
ATP6V0A1,0.165014951,5.455477593,0.011147002,0.033488637
MYNN,0.20248258,4.335885517,0.01116474,0.033535413
MALL,-0.306879278,2.818922145,0.011165566,0.033535723
RELL2,0.20436628,4.277651083,0.01118591,0.033592479
TUSC1,-0.59128302,0.758153658,0.011187554,0.033595241
GHRL,-0.975063096,-0.093103008,0.011203248,0.033635838
USP43,-0.323366712,2.935798333,0.011216607,0.033671589
EIF2B3,0.190273678,4.418194903,0.011240388,0.03373425
INS-IGF2,1.047025695,-0.922146971,0.01126674,0.03381115
GLDC,0.151843598,6.10657495,0.011271258,0.033822521
GP1BA,-0.903604025,0.077106215,0.011278872,0.033836617
NLRC3,0.82602935,-0.360832003,0.011285855,0.033853186
COX10,-0.193347334,4.364120128,0.011287945,0.033857268
RRBP1,-0.151768746,7.036479441,0.011310042,0.033910397
SHISA2,0.249933919,3.570621564,0.011328847,0.033962388
MAP4K1,0.39380463,2.029728404,0.011333072,0.033970667
FGF21,-1.55809095,-1.908086999,0.011342196,0.033993622
UBAP1,0.189438006,4.657758862,0.011362521,0.034047942
SLC39A1,-0.140240092,7.278503949,0.011363337,0.034048188
KCNA1,-0.828536878,0.056150159,0.011366662,0.034055953
ISL2,-0.741545482,-0.015996754,0.011369603,0.034060366
REEP6,0.308526483,2.548931139,0.01137154,0.03406397
MNAT1,0.229129155,4.259425575,0.011375831,0.034074622
SRPK1,0.145607882,6.846198218,0.01138057,0.034086617
RB1CC1,0.159817014,6.536973125,0.011392082,0.034118897
C1orf146,-2.245227487,-2.608542784,0.011395537,0.034127041
TOP1MT,-0.195029227,4.725824857,0.011398887,0.034134871
PLIN3,-0.160808662,5.756324682,0.011415783,0.034181054
ELF2,0.201263969,4.736812277,0.011438517,0.034242497
AC069503.2,-0.294322785,3.762232556,0.011463572,0.03431086
CARNMT1,-0.191888133,5.071771381,0.011478545,0.034349031
TRIM16,-0.274179779,3.157756493,0.011492723,0.034389239
SPRYD3,0.447086906,2.388741696,0.011499132,0.034406198
CCAR2,-0.149002428,7.014640567,0.011510664,0.034438481
LHCGR,-1.165578387,-1.286639824,0.011513803,0.034445652
DNAJB14,0.207610938,4.963570529,0.01151983,0.034461463
CALCOCO1,0.24105207,3.672320721,0.011521287,0.034463598
SERPINB5,-0.927687896,-0.750411416,0.0115601,0.034570784
MGAT1,-0.155118014,5.8513525,0.011562545,0.03457587
CHI3L1,-2.018725469,-1.994091467,0.011568054,0.034590114
MC1R,-0.433254637,1.419286753,0.011578449,0.034618966
TRIM17,-0.659325769,0.105807699,0.011581773,0.034626673
TIPIN,-0.257955505,3.51504951,0.011591789,0.034652153
UNC93B1,-0.230778079,3.63731702,0.011594018,0.034656585
RAMACL,0.228117708,4.118936205,0.011608435,0.034690742
ERMN,-1.184860224,-1.399169696,0.011647423,0.034798287
SLC25A6,0.142378157,8.24631516,0.011656418,0.034821815
GUCY1A1,-1.952333342,-2.360656233,0.011656798,0.034821815
SCARF1,-0.586136509,0.816975303,0.011675724,0.034871615
ANKS6,-0.161257369,5.440075558,0.011704612,0.034955644
BICRAL,0.234710713,3.622079213,0.011716593,0.034989174
IFT27,0.180957324,4.714789311,0.011717509,0.034989657
CUZD1,-0.402521023,1.71113145,0.011740542,0.035049417
PRAMEF10,-0.522547492,1.468101907,0.011769182,0.035123617
TAMM41,0.299244515,3.469863468,0.011772056,0.035129936
HCRTR2,-2.64605518,-2.65433779,0.011788747,0.035175219
FCMR,-2.645115052,-2.654357988,0.011788747,0.035175219
