gene,Ctrl_1,Ctrl_2,2PN_1,2PN_2,2PN_3,2PN_4,2PN_5,2PN_6,2PN_7,2PN_8,2PN_9,2PN_10,3PN_1,3PN_2,3PN_3,3PN_4
MLT2A1_dup3062,16.54800817,24.46105005,0,0,13.00471421,0.389876087,0.147387523,3.582226393,0,0.675836702,2.198140845,0.310250986,0,1.048918493,0.877465627,0
MLT2A1_dup3664,19.89170815,18.40089835,0,0,0,0.568528168,0,0.257960607,14.65786689,0,0.870599806,0.965155472,0.385305307,3.372880654,1.232154265,0
MLT2A1_dup2316,12.65985392,25.36992164,0,0,0.254799238,1.592685293,0.802791614,1.987302901,0.439174531,0,0.665158459,0.337975542,0,1.318444194,0.265521514,0
MLT2A1_dup1806,10.08662176,24.63713811,1.233421588,0,0.183768248,0.701976382,0,0.065149897,0.712675805,0.26549493,1.759012395,0.30469662,0.07784941,0.158483062,2.393768122,2.407797506
MLT2A1_dup341,14.01165618,17.27456225,0,0,0.495540586,0,0,0,0.854118742,0,0,0.164326039,0,0,0,0
MLT2A1_dup3543,10.18290968,20.7226492,0,0,22.90015503,3.803317766,0.522834262,4.647610122,6.149457687,5.27433576,4.187579582,3.851984526,2.249542301,1.86043742,1.037557508,0
MLT2A1_dup3505,13.2036349,15.97269234,0,0,12.33677608,2.142057018,0.262630203,11.58428664,11.42210418,16.98027954,2.611248521,3.75929176,5.720576938,8.195155444,3.561438215,0
MLT2A1_dup3353,14.15118565,14.97586647,0,0,9.025062848,3.555971269,0.136707268,5.968454495,9.72230573,4.01192338,2.189881593,1.553952764,0.661719984,4.640031862,2.260781004,8.062473469
MLT2A1_dup3650,9.400621907,19.46085051,0,0,0,0,0,0.385963786,0,0,0.236836724,0.120339776,0,0,0,0.432253822
MLT2A1_dup3405,12.95904416,15.08440522,0,0,10.04215983,4.629661103,10.91022821,2.63943428,3.879551395,8.379723698,3.465235152,3.674567821,1.540292782,10.60156211,3.067253341,1.031159721
MLT2A1_dup3502,11.37914149,15.9101428,0,0,6.314905568,1.24464005,0,10.40727056,0.588347827,8.260297708,2.301985451,0.113193709,0.72301946,0.220784598,13.25021729,0
MLT2A1_dup3456,15.0606907,11.84963352,0,0,28.12019155,25.88485723,12.69461132,28.33046335,15.98728685,8.974100808,13.51297383,23.21489246,12.58814044,48.14015571,8.047535223,0
MLT2A1_dup1096,13.88291673,12.14611527,0,0,14.47283821,0,0,0.060364005,0.073369205,0.122995874,3.25959169,2.992525149,0.072130614,0.587363764,0,0
MLT2A1_dup3420,9.258071493,15.85058993,0,0,2.12294092,1.020766483,0.514516444,1.157891359,0.844412847,3.656890956,3.268346792,0.758140591,0.691798165,0.492918341,2.297364551,0.77805688
MLT2A1_dup415,16.71077403,8.339718532,0,0,0.297735021,0.827140428,0,18.43670109,7.013447406,1.003673511,2.677170925,14.28320119,0.084085965,20.45591662,0.620528178,0
MLT2A1_dup3500,7.38229695,17.09309554,0,0,1.986729539,0,0,0.704339444,0.927427321,0,0.432199736,0,0.490953536,0,0.43131951,0
MLT2A1_dup3085,10.84924233,13.41175264,0,0,0.620955179,0,0,1.446649452,1.758324694,0.897110645,0.5403386,0,0,1.300539396,0.924408233,0
MLT2A1_dup3440,12.2743776,10.98228152,0,0,3.726438849,5.90620796,0.301046855,5.894159739,4.940713469,3.865210756,0.997737688,1.267408283,1.942922506,1.565652481,4.779387246,1.024303606
MLT2A1_dup2912,15.54948371,7.66839868,0,0,0.324394515,1.689756405,1.788612468,0.862537582,0.489238444,0.11716537,0.423419154,3.334742876,0.618401971,1.258920754,0.845113621,0
MLT2A1_dup3554,9.505822955,13.69873873,0,0,3.164527318,0,0,2.243789474,2.486569784,36.03715373,0,32.83966497,0,0,1.163892231,0
MLT2A1_dup2833,14.37346168,8.829176325,0,0,3.403581394,5.975364032,6.851192646,4.290292195,1.54809022,10.10767144,12.34043983,9.844427071,6.167926798,15.57325465,0.985224564,0
MLT2A1_dup2018,9.061113718,13.9994595,0,0,2.917903959,0.886621762,3.447521349,0.517230658,2.828997357,1.712577065,1.983657841,2.056160848,3.322035859,0.943658027,0,0.868896008
MLT2A1_dup519,10.26016238,12.64909814,0,0,8.442772735,0,0,0.254736099,0,0.648803234,1.563122379,0,0,0.232375789,0.374385334,0
MLT2A1_dup3259,12.35943209,10.01285942,0,0,2.159056039,6.657883951,1.088400169,2.816793403,1.116411216,0.623849264,2.179353316,3.665734725,2.341470712,2.755738526,0.629975322,0
MLT2A1_dup1835,6.33573743,14.32445,0,0,0,0,0,0,0,0.743259075,0,1.93347822,0,0.665515387,0,0
MLT2A1_dup2417,11.44256027,9.182079349,0,0,10.90312558,3.786259315,0,2.914890686,3.234815385,3.873452144,5.288175211,3.319222487,0.075719202,1.156098454,0.465653401,0
MLT2A1_dup413,8.700128472,11.45825778,0,0,0,1.580985125,0.311828148,4.701740672,2.644121037,0.714934693,2.066938682,0.196919634,0.419271615,0.085353825,0.309409367,0
MLT2A1_dup2805,9.271117317,10.66682224,0,0,0.80034711,0.617625485,0,0.441374429,4.138459004,0,2.940527247,0.412848837,0.075344355,0,1.112035646,0
MLT2A1_dup824,8.168966914,10.25529108,0,0,0,0.851382952,0,0.133719737,3.73817061,0,0,9.443355991,0,0.325285444,0,0
MLT2A1_dup1159,8.92571595,9.213869525,0,0,7.739310174,0,0,2.195004935,0.842498079,0,3.544495189,0.162090311,0,0,0.084894634,0.388146289
MLT2A1_dup2970,6.15471045,11.25364603,0,0,0.653212591,0,0,0,2.955444966,12.74013623,1.065765258,5.252831237,0,0.704169058,0.340350304,0
MLT2A1_dup2783,5.588701452,10.67190675,0,0,2.497577553,0,0,3.337451565,1.738497039,0.693907202,1.25384148,0.318546467,0,0,0,0
MLT2A1_dup2680,6.728029001,8.577886417,0,0,0.616767253,0.910268633,0,7.379693857,2.059690851,1.113825295,0.872128366,0,0,0,1.847824611,1.010138224
MLT2A1_dup1842,7.049434454,8.145496175,0,0,0,0,0,0.170582209,0.552889364,1.390292645,1.395644981,0.425487066,0,0,2.172772029,0
MLT2A1_dup2844,8.598649094,6.541593073,0,0,2.521171403,0,0,0,0.339493469,3.75622925,0.685579991,0.052252798,0.267009818,0.203838412,0.082102047,0
MLT2A1_dup928,7.569843795,6.953659543,0,0,0,0.829608452,0,0,0,0,0.559685762,0.670332565,0,0.554690716,0,0
MLT2A1_dup1924,4.069776592,10.25590009,0,0,0,1.093260781,0,1.116111774,0.398992325,1.070190902,1.853186325,0.429873531,0,0.079854223,0.385964262,0
MLT2A1_dup2596,4.717949885,9.46089653,0,0,0,0,0,0.460366444,0.93258447,0,0,0,0,0,0.601422224,0
MLT2A1_dup3252,5.524584407,8.464625834,0,0,0,0,0,0,0,0.116377262,1.401903479,2.1369754,0,0,0.755486101,0
MLT2A1_dup3128,6.342090393,7.576225088,0,0,0.084137453,0,0,1.431771985,0.870120967,0,0,0,0.071285994,0.435364476,0,0
MLT2A1_dup1894,7.736577395,5.973566562,0,0,1.698661583,0,0,2.348630701,0,4.417383722,1.182503927,0.394304799,0,0,1.41611474,0
MLT2A1_dup1947,5.9538525,7.319444573,0,0,0,0,0,0,0,7.59574518,0,9.298449059,0,0,0,0
MLT2A1_dup3203,6.417967385,6.666366456,0,0,0,0,0,0.093998561,0,0,0,0,0,0,0,0
MLT2A1_dup340,5.239877924,7.837490699,0,0,0.959207809,0.484506205,0,0,0.375750053,0,0,1.272330257,0,0,0.454351134,0
MLT2A1_dup2942,4.19816529,8.848504381,0,0,0,0,0,0,0,3.483507297,0,0,0,0,0,0
MLT2A1_dup604,3.890090972,8.883475143,0,0,0.446849409,1.92416457,0,6.716922015,4.236067767,1.032920572,4.588269668,2.074514055,0.075719202,7.013663953,0.838176122,0
MLT2A1_dup106,7.789820574,4.699935415,0,0,0,0,0,2.291277082,0,0,0.909753765,4.286388223,0,0,0,0
MLT2A1_dup1542,1.506362365,10.30207191,0,0,0.090953652,0,0,1.418783337,0,0,0,0,0,0,0,0
MLT2A1_dup3445,6.335428851,5.391577308,0,0,1.522317478,0,0,0.21587805,0,3.079066196,0,0.807704261,0,0.262571513,0,0
MLT2A1_dup1092,4.781965487,6.643943594,0,0,10.63501594,0,0,0,3.542893041,0,0.077767283,0,0,0,0.372522721,0
MLT2A1_dup162,5.353244572,5.931746368,0,0,0.420195234,0.583674142,1.985852941,0,0.181063184,0,0.182821331,0,0,0.362379398,0,0
MLT2A1_dup1456,3.863980318,7.083234822,0,0,1.40705062,0,0,0,0,0.542081031,0.734626705,0,0,0,1.4662611,0
MLT2A1_dup3654,5.22684852,5.620868706,0,0,0,0.462075363,0,0.202171507,0.573366748,0.823877123,0.413524439,0,0,0,0,0
MLT2A1_dup2760,3.92713534,6.767568456,0,0,0.654700547,0.056838427,0,0.92842314,1.128448452,8.039839621,1.281831563,0,0,0,0,0
MLT2A1_dup2599,5.301416077,5.34921318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLT2A1_dup878,2.408960057,8.213187279,0,4.681974658,0.945439276,0.65663341,5.957558822,0,0,0,0,0.627033571,0.801029454,0,0.985224564,2.252269916
MLT2A1_dup3645,3.853306622,6.494411795,0,0,0,0.57581699,0,0.391901691,0,0,0.721441098,0.061095579,0,0,0.09599624,0
MLT2A1_dup1969,4.190008094,5.586715682,0,0,0,0.366172929,0,0.534037944,0.714003875,0,0.524317779,0.69933304,0.765764007,0,0,3.588522299
MLT2A1_dup2005,2.554219447,7.215820976,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLT2A1_dup2847,6.091852783,3.598322207,0,0,1.872955533,0,0,0,0.513584433,5.903801941,1.777959104,0.056462739,0,0,0,0
MLT2A1_dup3485,3.597963018,5.825016479,0,0,1.221996343,0.792129193,0.25667487,1.386318907,0.421249039,1.647754245,0.496229327,0.054030104,0.828275354,1.405144606,2.80152291,0.097036572
MLT2A1_dup74,5.843409269,3.503598173,0,0,1.327340856,0,0,0.439200171,1.220169632,0,0.231003307,2.464890591,0,0.305255552,0.092213137,0
MLT2A1_dup84,4.956685095,4.231785789,0,0,0,0,0,0,0,0.239190132,0,3.23919186,0,0,0.948902921,0
MLT2A1_dup1351,3.534246445,5.644030426,0,0,0,0.286147587,0,0.817959951,0.852159754,0,0,0,0.349072469,0,0,1.668539411
MLT2A1_dup412,6.70372218,2.364402399,0,0,0,0,0,3.859637865,5.629418982,0,1.894693792,0,0,0,0,0
MLT2A1_dup1556,6.168730291,2.611324394,0,0,0,0.397868991,0,0,0,0,0.783341511,0,0,0,0,0
MLT2A1_dup3475,6.835157685,1.898845289,0,0,2.940901819,5.575573071,1.752998503,6.030257213,8.699445042,0.688994585,5.809835389,8.329003457,1.077490947,6.580553323,1.159600593,0.378700251
MLT2A1_dup2474,3.994858762,4.596225958,0,0,2.552686045,0,0,0,0,0.546360618,0.658156791,1.379473857,0.240308836,1.22303047,0,0
MLT2A1_dup73,5.473662089,2.92577707,0,0,0.572862978,0.397868991,0,4.990274378,2.539009017,4.374618617,0.142425729,4.993415411,0,0.56461847,0.426406987,0.584871914
MLT2A1_dup700,4.767733447,3.501134321,0,0,0.66530912,0,0,0.294833448,0.430025061,0.120148747,0.578934214,0.827335962,0.070460924,4.159813511,0,0
MLT2A1_dup1019,2.083759986,6.173021354,0,0,11.09375303,0,0.26886845,0.544566483,0.367717392,0,0.816833547,0,0,0,1.422842126,0
MLT2A1_dup419,6.241396512,2.000648183,0,0,0,0,0,30.10517534,0.938236497,4.718568975,36.94652895,1.444077316,0,2.816676233,0,0
MLT2A1_dup2420,3.585136378,4.654249429,0,0,35.08246212,28.33981793,19.21040508,0,6.628898071,1.21968232,2.530380874,7.838738224,3.179020288,46.92008973,0.68425518,0
MLT2A1_dup3577,6.512026171,1.720069475,7.106589118,1.898483627,2.190651981,2.890788549,1.035307478,2.951210904,4.342204276,3.481383207,13.5343523,3.922783197,4.454505258,3.400621306,1.597986183,1.043734839
MLT2A1_dup3292,3.657439357,4.289060831,0,0,0.328097648,0.056968195,0.387649375,0.116317853,0.070689051,0.237005748,0,0.108800346,0,0,0.085476104,0
MLT2A1_dup3448,2.975465062,4.760704709,0,0,5.078642394,1.698308401,0,8.335605336,4.295747731,5.978501005,5.074009815,0.062375067,0.239050675,0,2.548172432,1.120238964
MLT2A1_dup406,4.023757458,3.67701548,0,0,0.098699705,1.98793961,0.621942954,5.668578029,1.020718826,0.142594117,0.85885845,0.327297743,0.250871862,3.489892805,0.925678024,0
MLT2A1_dup3299,3.797603337,3.509832791,0,0,0,0,0,0.664528954,0.201924811,0.45134138,0.475732898,9.323716583,0,0,0,0
MLT2A1_dup3106,1.719348435,5.551021255,0,0,11.16891995,0,1.026366999,0,0,0.268933983,0,0,5.362331891,0.642143804,0.290973058,0
MLT2A1_dup2886,3.631592711,3.511776067,0,0,0.286649142,2.654475488,0.301046855,0.203246888,8.810939019,3.17499455,0.582013652,0.063370414,0.485730627,0.412013811,5.675522355,0
MLT2A1_dup133,2.363450736,4.747129946,0,0,0.452477235,0,0,0,0,0,0,0,0,0,0,0
MLT2A1_dup2538,1.827631155,5.251701481,0,0,0.37423638,0,0,2.454488455,0,0,0,0,0.634148318,0,0.194992362,0
MLT2A1_dup964,3.254061429,3.805428712,0,0,2.009884895,0.523469991,5.145164438,0.118758088,0.288688153,0.120988948,1.894693792,1.27745301,1.915748765,1.661116753,1.30903963,0
MLT2A1_dup1261,1.039341379,6.00194455,0,0,0.369426144,0,0,0,0.716339948,0.934009797,0,0,0,0,0,0
MLT2A1_dup1925,5.772362995,1.232542184,0,0,0,0,0,0,1.520445752,0,0,0,0,0,0,0
MLT2A1_dup165,3.879787021,2.934611709,0,0,5.561134219,3.923666961,0,12.07962337,1.901830737,0.382586674,0.998554836,1.170873499,0.299155963,3.730192849,3.31151647,0
MLT2A1_dup1500,3.187976991,3.613110898,0,0,0,0,0.140788082,0,0,0,1.166509238,0.05927183,0.075719202,0,0,0
MLT2A1_dup1352,1.915278329,4.726853326,0,0,25.98132054,0,0,0.327986394,1.129507886,2.895945766,0.603781176,0,0,0,0,0
MLT2A1_dup2356,1.688572262,4.939100203,0,0,0.56135457,0,0,0.597037732,0,0,0.407063119,0,0,0,0,0
MLT2A1_dup1123,2.276619267,4.331024575,0,0,0.240044716,0.666870457,0,1.304884249,0,0.231199371,0.69626832,0,0,0,0,0
MLT2A1_dup1366,3.90457033,2.545848518,0,0,0,0,0,0,0.733692047,0,0,0,0,0.587363764,0,0
MLT2A1_dup411,4.568641281,1.879729887,0,0,0,0.754046059,0,2.449385568,1.020718826,0.142594117,0.17177169,0.589135938,0.083623954,1.702386734,0.205706228,0
MLT2A1_dup1504,1.924430591,4.501458413,0,0,1.143122034,0,0,9.784181987,1.759193432,0,0.994714241,0.433223195,0,0,0,0
MLT2A1_dup3326,1.845574238,4.453055634,0,0,0.289731391,0,0,0,0.915537227,0,1.932893264,4.611730783,0,0.333155253,0,0
MLT2A1_dup2915,2.364001167,3.8137356,0,0,1.30982733,0,0,0,0,0,0.162825248,0,0,0,0,0
MLT2A1_dup3286,2.674639603,3.482609801,0,0,0.443539413,0,0,0,0.688040098,1.281586635,0.694721057,8.001258017,0,0,0,0
MLT2A1_dup63,2.53107324,3.595634984,0,0,0,0,0,0,0,0.837165463,0.432199736,2.854880961,0,0,0,0
MLT2A1_dup2065,3.663129856,2.451289235,0,0,0.978202023,0,0,0,2.452420151,0.128475888,0.928587552,0.294892026,0,0.230075039,0,0
MLT2A1_dup1901,1.982705011,4.12468436,0,0,0,0.329763034,0,0.112218546,0.340989035,0.685959366,0,1.154625695,0,0.545963675,0.65970984,0
MLT2A1_dup621,4.237985286,1.778353941,0,0,0,0,0,2.830401101,0,5.767139859,0,0,0,0,0,0
MLT2A1_dup2973,1.683922877,4.293944372,0,0,2.675391994,0,0.150523428,0.406493775,0.411726122,1.794562137,0,0.887185798,0,0.576819335,1.991411353,0
MLT2A1_dup3710,1.358973904,4.533535313,0,0,4.693510895,0,0,2.17826593,0.808978262,24.41102905,1.188121523,2.829842721,0,0,0.266782899,0
MLT2A1_dup1631,3.205349435,2.676923626,0,0,0,0.937166933,0,0,0.072680292,0,0.440316163,0,0,0,0,0
MLT2A1_dup339,2.554067407,3.220555612,0,0,0,0,0,0,0,0,0,0,0,0,0.083012269,0
MLT2A1_dup1533,2.508659747,3.222520564,0,0,0.241118742,0,0.759688709,0,1.038986725,0.696701459,0,0.639658408,0.204289391,1.039712703,0,0
MLT2A1_dup2948,3.623977969,2.095166995,0,0,1.320140931,0,0,1.604636845,0,0,0.90259035,0.187616344,0,0.406606805,0.393055469,0
MLT2A1_dup723,3.150024884,2.553065965,0,0,0,1.055187022,0,0.190101566,0,2.453186358,0.155534565,0,0,0.308292921,0.465653401,0
MLT2A1_dup1338,4.403370078,1.236172861,0,0,0,0.405724709,0,0.138068346,1.342517264,1.828605321,1.186109122,0.064572563,0.247472514,1.343455331,0.913134962,0
MLT2A1_dup953,2.725683344,2.91045571,0,0,0,0.057893433,0.393945305,0,0,0,0.072534681,0.055283702,0,0,0,0
MLT2A1_dup2972,3.615260918,1.918989074,0,0,1.221996343,1.867161669,0,0,0.421249039,0,0.921568749,0.810451555,0,0.140514461,0.254683901,0
MLT2A1_dup2591,2.652505512,2.772471848,0,0,0,0,0,0,0.3929163,0.526946789,0.317385255,0,0.231769944,0,2.090476486,0
MLT2A1_dup1184,4.118510169,1.292972097,0,0,2.293193138,0.530895098,0.150523428,0.203246888,1.317523592,0,0,0,0,0.906430384,0,0
MLT2A1_dup3447,3.467442507,1.940022481,0,0,0.362895884,0,0,6.175420584,2.814709491,0,0.315782299,0.240679553,0.307465851,0.312964026,0,1.729015289
MLT2A1_dup493,1.388755178,4.016685968,0,0,2.210873384,0.703776322,0,2.547360991,0,0.798527057,0,0,0.312196095,0,2.11191727,0
MLT2A1_dup889,1.441726095,3.94864773,0,0,1.031388301,0,0,0.487533204,0,0,1.421020344,0,0,0,0.268697608,0
MLT2A1_dup1011,3.52386808,1.81161056,0,0,0.471478904,0,0,0.869178291,3.088053982,0.2724633,0.90259035,32.70778267,0,0.487928166,3.930554691,1.797086757
MLT2A1_dup2600,2.573876638,2.729490676,0,0,0,1.037127587,0.276757011,0,0.681311099,0,0,0.466059183,0,4.469493583,0.091536757,0
MLT2A1_dup2842,1.057569965,4.201361185,0,0,1.796334625,0,0,0,0,0.117964224,0,0,0.138359633,0.211250717,0,0
MLT2A1_dup664,3.291043935,1.960735003,0,0,0,0.24889845,0,0.508201694,1.775864093,0,0,1.366651724,0,0.077265433,0.560177558,0
MLT2A1_dup1747,2.270586373,2.946124218,0,0,5.722005854,0,0,0.199532192,0.727561983,0,0,0.186636624,0,0,2.150516281,0
MLT2A1_dup3653,1.976986853,3.205226933,0,0,0.376195733,0,0,0.200054528,0,0,0,0,0,0,0,0
MLT2A1_dup1464,0.521301151,4.539056015,0,0,1.145725956,0.397868991,0.128922116,0,1.833728735,0.709397614,1.99396021,0.705591308,1.040061023,0.282309235,1.023376768,0
MLT2A1_dup234,1.681846129,2.961589437,0,0,0,0,0,0.534878948,0.406322892,0,0,0.500310251,0,0.243964083,0,0
MLT2A1_dup1745,1.552979843,2.994258691,0,0,4.983120659,0,0,0,0,5.225260946,0.279753446,0,0,0.13862836,0.167510217,0
MLT2A1_dup3045,2.337124239,2.191886613,0,0,0.176111238,1.039669566,0,1.873059552,4.780866856,0,1.072731044,0.350401113,0,0,0,0
MLT2A1_dup2857,1.968050701,2.548770973,0,0,0.328097648,0,0,0,0,1.066525864,0,0,0.138991412,0.495169109,0.256428311,0
MLT2A1_dup721,2.527473153,1.988596086,0,0,0,0.150313672,0,0,0,0,0,0,0,0,0,0
MLT2A1_dup141,1.907093379,2.594298462,0,0,0,0,0,0.297588901,0,0.242543265,0,0.167013615,0,0,0.787258881,0
MLT2A1_dup3067,2.582522284,1.875607672,0,0,0,0,0,0.132675052,0,0,0,0,0,0,0,0
MLT2A1_dup2069,1.515224876,2.932456926,0,0,0,0,0,0,0.353445256,0.237005748,0,1.52320484,0,0.212215333,0.769284933,2.637932573
MLT2A1_dup1149,2.552921814,1.87710218,0,0,0,0.049705318,0,0,0,0.103394938,0,0,0,0,0,0
MLT2A1_dup619,1.517890648,2.863172528,0,0,4.399186836,0,0,0.714820686,0,0,0.398755709,0,0,0,0,0
MLT2A1_dup1675,1.136140736,3.240411552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLT2A1_dup3546,1.598876267,2.773625891,0,0,1.723755448,0,0.142921234,0,0.312745499,0.655356802,0.947346896,0,0,0,0.756334009,0.108063456
MLT2A1_dup628,1.157693542,3.171759315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLT2A1_dup3419,2.042668737,2.232950935,0,0,0,0,0,0.543276041,0.293476819,0.491983495,0,0.282313693,0.072130614,1.541829881,0.532301423,0
MLT2A1_dup1548,1.967064869,2.302632815,0,0,0,0,0,0,0.389456659,0,0,0,0,0,1.412774846,0
MLT2A1_dup1757,0.467777621,3.793681933,0,0,1.016793184,0.706190649,0,0.961268298,0.730231236,0,0.073732188,0.280982025,0,0,0.264895284,0
MLT2A1_dup1550,1.891997653,2.35960353,0,0,0,0,0,0,0,0,0,0.691556815,0.240942897,0,0,0
MLT2A1_dup2998,2.557363041,1.685359788,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLT2A1_dup1350,2.145480051,2.084008524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLT2A1_dup2326,2.014338239,2.201202158,0,0,0,0,0.138378506,0,0,0,0,0,0,0,0,0
MLT2A1_dup2766,2.732551707,1.448230401,0,0,0,0,1.267092735,0,0,0,0,0,0.227157606,0.385366151,0.279392041,0
MLT2A1_dup2727,2.525493273,1.646792042,0,0,0,0.792129193,0.128337435,0,0.21062452,0.235393464,0,0,0.276091785,0,0.424473168,0
MLT2A1_dup510,2.757442374,1.312113419,0,0,0,0,0,0,0,0,0,0,0,0.469446039,0.405178933,0
MLT2A1_dup2605,1.630492049,2.428267642,0,0,0,0.063491271,0,0,0,0,0,0,0,0,0,0
MLT2A1_dup2186,1.928425519,2.108065535,0,0,6.992443505,0,0,0.284939708,0,2.786805838,0,1.066097347,0,0,0.753795975,0.861606612
MLT2A1_dup1074,1.121230753,2.914330031,0,0,3.866127013,0,0,0,0,0,0.492322009,0,0,0,0.589583204,0
MLT2A1_dup3476,1.580653972,2.41970287,0,0,0,1.180165453,0,0.172118986,0,0,0.70410918,0,0,0,0,0
MLT2A1_dup46,2.399535331,1.577976032,0,0,0,1.230031599,0,0.478377651,0,3.898911454,0.146772054,1.901707451,0,0,0.966722694,0
MLT2A1_dup2797,1.170781547,2.792271565,0,0,0,0,0,0.366526761,0,0,0.299879593,0,0,0,0,0
MLT2A1_dup3296,1.041689661,2.900099257,0,0,0.679286203,0,0,0,0,0,0,0,0,0,0,0
MLT2A1_dup1287,1.394804187,2.520003807,0,0,0,0,0,0,0,0.351496109,0,0.59164793,0,0,0.422556811,0
MLT2A1_dup122,2.407946185,1.470173286,0,0,0,0,0,0,0.078186375,0,0.473673448,1.203397763,0,0,0.567250507,0
MLT2A1_dup1471,2.359856555,1.496887849,0,0,0,0,0,0,0,0,0.074969898,0,0,0,0,0
MLT2A1_dup3133,1.907093379,1.924866055,0,0,0,0,0,0,0,0.13107136,0.157891149,0,0.845531091,0,0.756334009,0
MLT2A1_dup10,2.00566225,1.820814639,0,0,0.484404843,2.018594393,0.38155152,1.545589815,1.600273037,0.466555135,0.843032294,1.124433236,0,0.278502819,0.336526143,0
MLT2A1_dup2699,2.271174842,1.541408487,0.182677212,3.133730766,0.979818886,0,0,0.636840248,0.422206424,0,0.142102034,0,0,0.211250717,0.935963336,6.613483482
MLT2A1_dup725,1.553604675,2.25244601,0,0,0,0,0,0,0,0.356322142,0.930004161,0.381672609,0,0,0,0
