gene,Zygote,2C,4C,8C,Morula,ICM,TE
MLT2A1_dup3046,0.013378971,0,0.651106605,1.204174032,0.76175346,0.02407079,0
MLT2A1_dup1347,0,0,0.608739273,1.195664565,0.031538426,0,0
MLT2A1_dup3075,0,0,2.18617605,1.187037361,0.277482418,0,0
MLT2A1_dup3365,0,0.046920855,3.242536955,1.140820702,0.022962313,0,0
MLT2A1_dup1076,0,0.008791991,0.526863523,1.096630912,0,0.024680177,0
MLT2A1_dup1088,0,0.639314038,0.527787315,1.083446617,0.097479961,0,0
MLT2A1_dup2959,0,0,0,1.049424897,0.035610477,0,0.025142209
MLT2A1_dup1196,0,0,0.574553651,1.034328058,0,0,0
MLT2A1_dup2416,0,0,0.846438598,0.984029841,0,0,0
MLT2A1_dup3637,0,0,1.89048952,0.951840218,0,0,0
MLT2A1_dup790,0,0.007786628,0.461897886,0.90225074,0.399128484,0,0
MLT2A1_dup2587,0,0.025774814,0.80825918,0.866362936,0.036630568,0,0
MLT2A1_dup1902,0,0.057655506,0.831756877,0.844864237,0,0,0
MLT2A1_dup2762,0.013313226,0,0.462964591,0.820975735,0.138242144,0,0
MLT2A1_dup1836,0,0,0.318268403,0.816738759,0.392423343,0,0.418208659
MLT2A1_dup775,0,0,0,0.811529105,0,0,0.419703396
MLT2A1_dup1898,0,0,1.028291157,0.81135653,0.013289832,0,0.02267391
MLT2A1_dup527,0,0,1.619463544,0.805627677,0.063360983,0,0
MLT2A1_dup2908,0,0,4.109316578,0.795584896,0.032261785,0.022359334,0
MLT2A1_dup1526,0,0,0.442961132,0.761038063,0.066753971,0,0
MLT2A1_dup751,0.318289133,0.267488566,0.368173481,0.753423526,0.030396586,0.45473505,0
MLT2A1_dup3617,0.016190284,0.074773984,0.184518235,0.734291974,1.387885001,0,0
MLT2A1_dup1245,0,0.050114068,0.509938712,0.696610437,0.541542877,0,0
MLT2A1_dup720,0,0,0.018940878,0.682318413,0,0,0
MLT2A1_dup3370,0,0,0.984630591,0.680177498,0.115586802,0.022777266,0
MLT2A1_dup3661,0,0,0.099041566,0.67151175,0,0,0
MLT2A1_dup121,0,0,11.65806553,0.670022782,0.077696162,0,0
MLT2A1_dup3049,0,0.021516366,0.633004823,0.665730317,0.089621651,0,0
MLT2A1_dup335,3.22196885,3.538314201,2.158853173,0.645188123,0.315082296,0,0
MLT2A1_dup1378,0,0,0.290599179,0.643685902,0,0,0
MLT2A1_dup3242,0,0,1.16367379,0.642205258,0.288767569,0,0
MLT2A1_dup1251,0,0,0,0.629306276,0.634245526,0,0
MLT2A1_dup2758,0,0,0.044959663,0.608603146,0.107227957,0,0
MLT2A1_dup467,0,0,0.486037332,0.602929871,0.032560505,0,0
MLT2A1_dup2955,0,0,0.583319166,0.601286982,0.812834836,0,0
MLT2A1_dup2156,0,0,0.401680615,0.568026771,0.305027751,0,0
MLT2A1_dup3656,0,0,0.016297979,0.552897555,0.014736573,0.024680177,0.024797183
MLT2A1_dup238,0.014939379,0.116910548,11.55430329,0.545446516,0.05675062,0,0
MLT2A1_dup1239,0,0,0,0.524519727,0,0,0.095492044
MLT2A1_dup810,0,0.296469746,0.84493411,0.515168812,0.118470187,0,0
MLT2A1_dup353,0,0,0.262228179,0.508362787,0,0,0
MLT2A1_dup1785,0,0.007965221,0.998934147,0.503793492,0,0,0
MLT2A1_dup3606,0,0,0.380156314,0.495584138,0,0,0
MLT2A1_dup2729,0,0,1.356499793,0.488015849,0,0,0
MLT2A1_dup2260,0,0,0.014242703,0.464370329,0.0257564,0,0
MLT2A1_dup2968,0.142953836,0.061475332,0.447788882,0.461981472,0.012051649,0,0
MLT2A1_dup3418,0,0,0.058128233,0.447666045,0.013139834,0,0
MLT2A1_dup3048,0,0,0.324466764,0.428929676,0.027587423,0,0
MLT2A1_dup3243,0,0,0,0.428710329,0.277187917,0,0
MLT2A1_dup834,0,0,1.67395551,0.413650395,0.011237348,0,0
MLT2A1_dup1263,0,0.023565544,0.285334053,0.407874541,0,0,0
MLT2A1_dup9,0.046568945,0.017065534,1.061290083,0.407870914,0.014302079,0,0
MLT2A1_dup1860,0,0,1.331078842,0.400738275,0.207252842,0.043618209,0
MLT2A1_dup518,0,0,0,0.395704819,0.014408283,0,0
MLT2A1_dup770,0,0.009360745,0.676739541,0.390457912,0,0,0
MLT2A1_dup268,0,0,0.116222259,0.390034935,0,0,0
MLT2A1_dup80,0,0,1.017669543,0.3865421,0,0,0
MLT2A1_dup108,0,0,0.251091311,0.37190762,0.019354911,0,0
MLT2A1_dup1954,0,0,0.425606262,0.370038317,0.013925709,0,0
MLT2A1_dup1569,0,0,0.548546571,0.36452874,0,0,0
MLT2A1_dup3496,0.873908053,0.93644109,3.27857656,0.357345655,0.063537011,0.032731352,0.158644929
MLT2A1_dup3308,0,0.087978031,0.727955547,0.355127087,0.038806309,0,0
MLT2A1_dup774,0,0,0,0.354258836,0,0,0.122986657
MLT2A1_dup2088,0,0,0.114958961,0.340552393,0,0,0
MLT2A1_dup2658,0,0.116160006,0.402996751,0.32771727,0.053525943,0,0
MLT2A1_dup3081,0,0,1.709005316,0.315623763,0.019915923,0,0
MLT2A1_dup1549,0,0,0.162539163,0.306014313,0.246128806,0,0
MLT2A1_dup513,0,0.02373508,0.020485218,0.301238078,0,0,0
MLT2A1_dup948,0,0,0.015111976,0.293235163,0,0,0
MLT2A1_dup3140,0,0,0,0.291793193,0,0,0
MLT2A1_dup3488,0,0,0.154620756,0.284280112,0,0.020741851,0
MLT2A1_dup1244,0,0,0.01617513,0.283071368,0.029250986,0,0
MLT2A1_dup308,0,0,0,0.275289537,0,0,0
MLT2A1_dup656,0,0,0.019592514,0.272165938,0.051172775,0,0
MLT2A1_dup2589,0,0.02194574,0.080704606,0.266592507,0.423736113,0,0
MLT2A1_dup3457,0.012203791,0,0.043497985,0.262334665,0.485078854,0,0.465727279
MLT2A1_dup2954,0,0,0.021463156,0.25198873,0.143811577,0,0
MLT2A1_dup3300,0,0,1.780672588,0.248720032,0.011618655,0,0
MLT2A1_dup3052,0,0,0.256612984,0.247150038,0.0797024,0,0
