gene,8C_C1,8C_C2,2PN_1,2PN_2,2PN_3,2PN_4,2PN_5,2PN_6,2PN_7,2PN_8,2PN_9,2PN_10,3PN_1,3PN_2,3PN_3,3PN_4
WDR91,-0.369639156,-0.218762354,0.30233331,0.528057541,-0.425636016,0.064436648,0.003175519,0.186678388,-0.28549815,0.055359598,0.135992117,0.198742288,-0.463394469,-0.685712603,0.172998519,-0.079239897
SYN3,-0.294968057,-0.300037465,0.190455805,0.847550142,0.019372013,-0.296999568,-0.264113874,0.287246867,0.042496364,-0.133675615,-0.249501865,0.364636345,-0.239266911,0.446884029,0.534786725,0.095109348
GOLGA1,-0.383385765,-0.212334966,0.331981908,0.253566725,-0.326859333,0.257837387,-0.082774272,-0.001868091,0.049698583,-0.273769621,0.047587136,0.288737811,0.111141486,0.015754465,0.297687211,0.560511464
TBC1D2,-0.155919276,-0.440104023,0.721026447,1.192007639,-0.172347429,-0.514763807,-0.268481501,0.39327592,-0.658098785,-0.130747094,-0.142638491,0.228769557,0.059121326,-0.197723022,0.06242403,-0.181181415
ZNF19,-0.645074473,0.047558332,0.902089415,1.439830662,-0.090008611,0.305100395,0.22976117,0.335324683,-0.443558909,0.743731481,0.241552706,0.106266391,0.280683062,-0.115411301,0.402940415,0.632968831
CLEC3A,-0.19118198,-0.408192605,1.234320845,1.632449902,-0.26558913,-1,-0.203491024,0.256768483,-0.435997007,0.090638555,-0.158419121,0.135495525,-1,-0.376663963,0.041046889,1.199681418
MYOF,-0.341116595,-0.260765888,0.945978213,1.131523071,0.060072762,0.009073593,-0.272541625,0.40022947,-0.013388581,-0.335775317,0.01628525,0.001085421,0.155117317,-0.447892105,0.26369334,0.561104963
RABL2A,-0.563926925,-0.039502585,0.354014268,0.805298208,0.092971397,0.165304583,-0.087108944,0.616282113,0.095858791,0.414950463,-0.05311886,0.653059808,0.091426359,0.516937885,0.215304115,0.41378091
CMKLR1,-0.384577205,-0.220179422,0.825913565,1.216515309,-0.663084396,-1,-0.674780604,0.660260553,0.558507093,0.080218333,0.257554507,-0.845902525,-0.455710026,-0.141566997,0.426343367,0.739819482
SPINK5,-0.390027908,-0.215971722,-0.222957252,-0.914451134,-0.074223895,-0.706662951,0.226758645,-1,-0.294753373,0.097289247,-0.090057556,-1,0.566324573,-0.422714941,-0.205134358,0.036067462
MGRN1,-0.373959944,-0.234470024,0.886793216,1.662128971,-0.158981591,-0.138021008,-0.387196548,0.757071477,-0.532672094,-0.266550179,0.169217862,-0.09424863,-0.672821156,-0.446270945,0.462045477,0.608264201
SH2D4B,-0.538110124,-0.07202164,0.491150519,0.821761065,-0.321722689,-0.141189319,-0.717055605,0.595406378,0.599774376,0.186089989,0.398792647,0.619815684,-0.248839496,0.100332629,0.491661814,1.203464518
RASA3,-0.400623209,-0.210580557,1.322284227,1.778784786,0.358678225,-0.954419416,-0.558560647,0.919607609,0.158383,0.321687476,0.668763291,0.63802936,-0.566604316,-0.813432445,0.830548637,1.079716184
AL590132.1,-0.255061332,-0.356464888,0.720155094,1.124002212,-0.483533008,-0.470406192,-0.275827274,0.263933712,-0.659489148,-1,-0.515030807,0.191045195,-0.73983925,-0.706875891,0.477319514,0.91738053
GRIK4,-0.312990809,-0.298920547,0.535538674,0.586081834,-0.437648599,-0.68734459,-1,0.053343935,-0.329495132,-0.332962674,-0.108971785,0.096071189,-0.745280728,-0.901140253,0.13211458,0.804185109
BCAS1,-0.271494282,-0.341370818,-0.18759647,0.217416031,-1,-0.47837165,-0.94746969,-0.784692499,-0.720803736,-0.025160338,-0.554331047,-0.113120107,-0.833804297,-0.881728791,-0.173175876,0.347195314
SNX29,-0.29237669,-0.321051727,0.592024339,0.897643693,-0.084569929,0.168757864,-0.389980894,0.191155795,-0.048165707,-0.011785003,-0.310566022,0.313793426,-0.187039274,-0.470931452,0.342464924,0.648382555
SPTAN1,-0.298853909,-0.315498172,-0.005977669,0.385305023,0.519835735,0.666537729,0.196390377,0.400789686,0.457845729,0.27145103,0.230054045,0.495101214,0.389281644,0.375625029,0.184222821,0.108447302
TLN2,-0.169458099,-0.445998105,0.350207495,0.378242145,-0.079090592,0.008296869,-0.782690177,0.169508677,-0.176797192,-0.273385331,0.020135416,-0.10519718,-0.309651855,-0.498440833,-0.155727594,0.579327691
ZNF618,-0.209962954,-0.406550771,0.787516015,1.292489553,-0.123525932,-0.00863258,-0.372276715,0.931900839,0.102866412,0.021261551,0.034174275,0.32074495,-0.508618133,-0.294857062,0.902670636,0.970554814
MIA-RAB4B,-0.297218551,-0.319961069,0.767295857,1.390330381,0.326221946,-0.129243301,-0.012007511,0.498203828,0.518132119,0.520078133,0.226639853,0.185856218,-0.053749454,0.295965149,0.311885401,0.121375977
ZEB1,-0.373053276,-0.25102452,0.544169285,0.568891235,0.43676944,0.230565399,-0.678795243,0.54419608,0.267122427,0.245581261,-0.047876411,0.319697006,-0.163570742,0.252489916,0.8466318,0.349895787
FANK1,-0.234378751,-0.394182832,0.023696448,-1,0.182910298,0.399119686,0.229947917,-0.259920247,0.122951425,0.299500543,0.105917039,0.057577106,-0.269027661,-0.372422272,-0.816657144,-0.014203792
GLB1L,-0.264839688,-0.364976427,0.716820801,1.142447034,0.548831596,0.454986554,0.716852978,1.0012921,0.798685719,0.610235987,0.884626426,0.872651494,0.085014998,0.625517097,0.793445186,-0.063287854
SIDT2,-0.2045442,-0.425396651,0.10862624,0.593569042,0.119671504,0.102671028,0.007729305,0.263082849,-0.127671851,-0.089334302,-0.07640506,-0.138999975,-0.196756328,-0.07805209,-0.032534445,-0.410580248
RUBCN,-0.384889484,-0.24523019,0.392678843,0.472559437,0.263687897,0.319645,0.147351023,0.668109315,0.741831514,0.22901338,0.509100323,0.506367146,0.451959352,0.614885726,0.706664025,0.167802174
