gene,8C_R1,8C_R2,2PN_1,2PN_2,2PN_3,2PN_4,2PN_5,2PN_6,2PN_7,2PN_8,2PN_9,2PN_10,3PN_1,3PN_2,3PN_3,3PN_4
DDC,0.139533402,0.173447641,-0.848773304,-1,-0.915290059,0.241747893,0.185650644,-0.732425762,-0.796283719,-0.766761768,-0.738380062,-0.017377402,-0.014917415,-0.737344389,-1,-1
SEC61G,2.325676134,2.326556435,0.971983043,1.096082676,2.089743368,2.319888958,2.186972431,1.614567892,2.012468128,2.019328606,2.174380247,2.275613758,2.12653498,2.06993732,1.503793406,1.506207418
ZNF479,1.537988248,1.519998267,-0.882881497,-1,0.882092704,1.087115628,0.490335969,1.236854553,0.66061877,0.636152969,0.956005443,0.635083046,-0.63568751,0.89137776,0.828157268,-0.357439926
ZNF716,1.711281626,1.628945288,-0.402442582,-1,1.272445483,1.307988245,1.393862532,1.24005452,1.452344215,1.419911821,1.523650755,1.560593893,1.019523381,1.557077387,1.347277897,0.225838385
AC115220.1,2.21618755,2.195117218,-0.841020675,-1,1.410695089,1.795400083,1.491791573,2.331064322,1.841476101,1.743548567,2.216558834,1.854926852,1.406583267,1.974785907,1.868093258,-1
ZNF735,2.597775567,2.578115908,-1,-0.793836348,1.914738497,2.166841418,1.474191342,2.77679711,2.339688698,1.747350427,2.611188765,2.156664524,1.40746093,2.347275359,2.471196919,-1
ZNF679,2.563615387,2.540214816,-0.850815509,-1,2.085477531,2.065830211,1.296227166,2.632511348,2.127712385,1.6056027,2.441703146,1.941240734,1.015517766,2.228246583,1.887765678,-0.641506644
ZNF736,0.990171055,0.960439429,0.147296266,0.117662979,0.789459572,0.502521343,0.418689331,1.018729617,1.11455561,0.507506947,0.977296964,0.725666334,0.366979618,0.775666433,0.794442384,0.071371964
ZNF680,0.999126712,0.811220187,-1,0.776940488,1.41747435,1.09822307,1.219223425,1.33924289,0.858187155,1.223717574,1.450913748,1.565626957,1.300860805,1.516074261,0.983088746,0.561435328
ZNF138,1.585918471,1.537924194,0.891258059,1.320506248,1.499815565,1.632363337,1.670744171,1.515202022,1.557882145,1.639923453,1.499432891,1.720635856,1.650781394,1.773580655,1.425321423,0.767075607
ZNF273,0.845961613,0.83122284,-0.013870466,-0.779505875,1.416673286,1.141939607,1.368235734,1.105069877,0.879325358,1.369015368,1.107375174,0.959492204,1.18304965,1.184493256,0.871643269,0.251539185
ZNF92,1.557589722,1.544128221,0.682906996,1.163641935,1.627056824,1.825339055,1.891869491,1.974857609,1.956558256,1.900434753,1.858136283,1.641677824,1.753939157,1.806271845,1.966314242,0.973216274
AC068533.4,1.403632275,1.571418701,0.449765417,1.403855453,1.369978358,1.816177046,1.277279988,1.802205077,1.859965312,1.653651701,2.054793781,1.7031732,1.344335674,1.769960942,1.531103985,1.204585243
CRCP,1.144081416,1.294356426,0.256603747,1.217022821,1.048061727,1.459219942,1.129670561,1.582505959,1.435895147,1.400600841,1.630693862,1.376393347,1.00411867,1.458300857,1.069580785,0.753230425
TPST1,1.333309205,1.312504224,-0.034170884,0.382442119,1.529778523,1.442729612,1.360097687,2.013684326,1.749468856,1.490475811,1.806829911,1.768885364,0.884276902,1.862900854,1.311985776,0.285016467
AC027644.4,1.579157304,1.570616484,0.751276024,1.266942079,1.837589133,1.454724917,1.566380093,1.796313609,1.989520518,1.908577766,1.976665381,1.831190234,1.765924065,1.850691867,2.193860049,1.427969796
RABGEF1,1.502114534,1.49422697,0.642128628,1.172237655,1.750122527,1.429553331,1.484853674,1.734848375,1.889091173,1.819989648,1.874342462,1.766272869,1.666941211,1.769426735,2.088507119,1.312867615
NCF1,-0.077103245,0.233273107,-1,-1,0.157942471,-0.020037149,-0.042566178,0.728870001,0.591870644,0.642889406,0.323817656,0.832254393,-0.107395401,0.344245453,0.675085759,-1
MTERF1,1.312763005,1.337918273,-1,-1,1.282689166,1.225364599,1.300487658,1.000290793,1.026629673,1.452052302,1.351018014,1.38311904,1.150915089,1.254519075,0.813570448,-1
LRRD1,0.629894596,0.33698997,-1,-1,-0.138526526,-0.258679997,-0.279232614,0.658633186,0.358802569,0.528473571,0.383781626,-0.65360575,-0.586245722,0.362198507,0.479161691,-0.2240675
GNGT1,0.003175562,0.448716366,-1,-0.288735768,0.077892013,0.501853144,0.315137044,0.191684308,0.442913847,0.156384064,-0.006205107,0.007452374,0.447147949,0.622284292,-0.196197908,-1
TAC1,0.842727968,0.980032748,-1,-1,-1,-0.327560108,-1,0.894765746,0.707185868,0.435440131,0.565052261,-1,-0.708771185,-1,1.41786064,-1
NPTX2,0.628173671,0.68927431,-0.074600955,0.635456904,0.860258988,1.395087771,0.819402504,1.315876763,1.390166291,1.344498967,0.619122457,0.055284275,0.869683269,0.632198663,1.377765806,0.220030379
BUD31,2.449284891,2.475657244,1.142113094,0.920993548,2.188496223,2.43495736,1.936392636,2.15465369,2.273016327,2.258966111,2.506247762,2.428485977,2.075097106,2.461730919,2.084842849,1.129683771
ZNF394,1.089756084,1.060216073,-0.096288657,0.508360143,1.234967289,1.168170019,0.950604575,1.725535135,1.431389821,1.228676197,1.524912035,1.484214823,0.935930572,1.368796951,1.423086221,-0.090409154
ZNF655,0.642186839,0.643288206,0.504661937,1.055499122,0.623600823,0.695649145,-0.230173471,0.957772785,0.663147766,0.493379969,1.067257261,1.084602371,0.231201642,0.835583982,0.734310153,0.584901201
