gene,4C_NC1,4C_NC2,4C_NC3,4C_KD1,4C_KD2,4C_KD3
SNUPN,1.404609173,1.507876802,1.272148784,0.615936495,0.674759023,0.75781229
ODF3L1,1.002422098,-0.302740555,0.453258929,-0.849408151,-0.059748542,-1
ISL2,-0.448116083,0.723337933,0.798657569,-0.915027426,-0.495646901,-0.618515053
SAXO2,0.634905324,0.926340973,0.231895449,-1,-1,-1
WDR93,-0.144010356,-0.115283913,-0.404256773,-0.349505294,0.226923197,-0.243409721
ARRDC4,-0.872074836,-1,-0.344502728,-0.207774094,-0.364252941,-0.487307765
LINS1,0.448868382,0.926436209,0.097966948,0.147972404,-0.337480883,0.095830938
POLR3K,2.407234676,2.415547358,1.998327913,0.464120377,0.55938711,0.16088384
HBZ,0.292069943,0.506155063,0.638504472,-1,-1,-0.202958995
HBM,0.741622251,0.762047562,0.66595387,-1,-0.271436771,-0.36156509
HBA2,1.253671886,1.170567719,1.524594458,-0.670675638,-0.112387112,0.171768478
FAM234A,0.68708024,1.230455035,0.734783408,0.431591507,0.724660708,0.797762965
C16orf91,2.258622026,2.521256961,1.881598912,0.824934298,0.963057914,0.796227297
RPL3L,0.157422624,0.83757987,0.349000872,-0.774573358,-0.118003973,-0.676216086
NPW,0.830716058,1.012677106,0.333754569,-0.696555783,-0.354378412,-0.459823265
ELOB,2.390382061,2.402003554,1.782871458,0.46662273,0.991790189,0.796634027
AC025283.2,1.663831477,1.90557176,1.466538894,1.216578703,1.156939223,1.02378568
ZSCAN32,0.800265796,1.189126844,0.729126149,0.007872118,-0.357185001,-0.320597252
ZNF174,1.006986347,1.182503331,0.571942659,-0.371930781,-0.021545682,-0.898167824
NAA60,0.993870681,1.192596608,0.898897084,0.727655771,0.729249816,0.654793732
SEPTIN12,0.553692369,0.868939649,0.291245134,-0.461228613,-1,-1
USP7,1.892513182,1.831019882,1.478142433,1.272659535,1.235922709,1.336645645
C16orf72,0.917916787,1.25825737,0.996441399,0.922714492,0.861946706,0.798094816
RRN3,1.558788854,1.612494233,1.219927767,1.144274606,1.156293366,1.27893973
AC138811.2,3.23953601,3.265199836,2.962252817,2.940700168,3.034127472,2.853270591
REXO5,0.412594898,-0.315757745,-0.078575144,0.051687771,-0.121406648,0.278890046
TMEM159,1.058461276,1.811794354,1.102395995,-0.129625899,0.01329723,-0.088040662
BOLA2B,2.24834424,2.602683359,1.852384023,0.705572778,1.183499362,1.100845322
ITGAL,0.111819568,0.414136584,0.258082942,-0.331695592,-0.650070628,-0.65931873
ZNF668,0.809714929,1.110537053,0.708631663,-0.732374134,-0.739029342,-0.322037187
PYCARD,-0.090203756,0.40532534,-0.016710273,-0.526011048,-0.830249327,-1
MYLK3,0.619652163,-0.043689398,0.493903278,-0.898090835,-0.616693708,-0.626500536
LONP2,1.874949797,2.282841791,1.611321384,1.165610434,0.99367331,1.076973886
SIAH1,2.107114219,2.553850304,1.819812518,0.891459498,0.812799338,0.550034635
CBLN1,1.452471568,1.356154174,0.629190887,-0.927977495,-0.717672807,-0.344544333
CNEP1R1,1.221012583,1.323783871,0.651039553,0.143453576,0.243828721,0.24633701
FTO,0.110921665,0.375876395,-0.00319176,-0.239413497,-0.129340529,-0.211562836
IRX3,0.202296132,0.380711966,0.26339326,-1,-0.015206062,-0.690202776
IRX5,0.584924237,0.775685959,0.486554204,-1,-0.040904686,-0.501732762
LPCAT2,-0.077183495,0.079832277,-0.310781121,-0.973165457,-0.783274256,-0.882318258
MT3,-0.319929737,-0.329831638,-0.843791952,-0.516667473,-0.151780695,-0.193525101
POLR2C,1.720429028,2.069947922,1.313823723,1.276172167,1.408056181,1.832972152
CFAP20,2.062065095,2.307445168,1.825695705,0.909008796,0.767858634,0.666976367
CSNK2A2,1.082736604,1.045038662,0.828578074,1.02558995,1.117595764,0.813443664
GINS3,1.316643093,1.198947009,0.837326917,1.077240874,0.896295517,0.922856827
CIAO2B,2.502089297,2.538677497,2.254712109,2.323840249,2.577097517,2.439028087
TMEM208,2.019486498,2.202632141,1.604633453,1.101180958,1.13514026,0.971902365
TPPP3,0.79600348,1.150195939,0.917129767,-0.057673538,-0.167527825,-0.558831138
GFOD2,0.663698467,0.949883903,0.540181873,-0.336866281,-0.121450512,-0.037291567
NIP7,1.782409728,1.939305916,1.350446444,0.98557672,1.073031346,0.924611299
CYB5B,1.413740942,1.796477878,1.16669836,1.412699011,1.18061694,1.318276986
DHODH,0.430295514,0.546281806,-0.090256626,-0.36434546,-0.482248961,0.047331324
TXNL4B,1.556732297,1.892716231,1.489962949,1.457585729,1.478461801,1.339517812
RFWD3,1.375716351,1.373917288,1.25191087,1.045140436,0.992426617,1.028370562
GABARAPL2,2.349736619,2.592866304,2.124833072,1.699192532,1.630396055,1.849158658
TERF2IP,1.533325404,2.09002888,1.254226638,-0.238486479,-0.1595986,-0.056927898
AC025287.4,1.892874691,2.113955717,1.597024025,-0.538827707,0.230608936,-0.389410279
CPHXL,2.160204944,2.440567467,1.824045334,1.276812214,1.375838967,1.477864418
CENPN,1.904371684,1.986019822,1.440586596,1.570173333,1.796592853,1.653668689
FBXO31,0.288340774,0.841775703,0.320323181,-0.944699898,-0.667777701,-0.464530564
MAP1LC3B,2.12653088,2.583304542,2.025948151,1.181810997,1.248885231,1.243167079
ZNF778,0.497265534,0.650953101,0.160558892,0.0241741,0.196425051,0.378350753
SPATA33,0.633593152,1.232410082,0.749872842,-0.205809331,-0.51250624,-0.053477307
VPS53,0.267394305,0.653035683,0.195539435,-0.088235054,-0.023589541,0.016661736
YWHAE,2.017978151,1.959026713,2.057680174,2.116613877,2.111468123,2.160895289
UBE2G1,1.851176885,1.908501068,1.651021865,1.748265955,1.616223245,1.664482328
VMO1,0.813651141,0.661710233,0.773977595,-1,0.036900588,0.280340256
SCIMP,-0.337049203,-0.686042945,-0.541894933,-1,-0.341980653,-0.764743592
MED31,2.031836747,2.257199611,1.849957995,-0.340770848,0.090042871,-0.498299744
C17orf100,0.393273387,0.944684019,0.666799425,-1,-1,-0.711829675
ACAP1,-0.298293719,-0.008550694,-0.098762509,-0.860314429,-1,-0.957455484
CHRNB1,0.569763104,0.877185665,0.74155132,-0.282008697,0.152141278,-0.296312843
SOX15,1.8427408,2.256068056,1.896851663,2.337564899,2.313814241,2.396128351
ATP1B2,0.66452389,0.667693594,0.552221489,-0.307343877,0.026367296,-0.779530465
EFNB3,-0.729255787,-1,-0.03812364,-0.174599928,-0.701703535,-0.414591511
RNF227,0.381790599,0.723274441,0.450210359,-1,-0.233640716,-0.142266896
TMEM107,0.375850055,0.61874463,0.94209229,0.416751134,0.858998881,0.246901796
CFAP52,-1,-0.60737584,-0.334324874,-0.938161472,-0.818762433,-0.757648259
MYH3,-0.323584345,-0.150765563,-0.502870578,-0.718395161,-0.766327139,-0.625058943
AC005324.4,0.791650704,0.613373277,0.591784544,-0.148990397,-0.074702017,0.002252702
ALDOC,1.089851131,0.900303669,0.342544316,-1,-0.332792809,-0.800040835
UTP6,1.442425688,1.538525426,1.112987495,1.292254164,1.396314504,1.336986288
LRRC37B,-0.274116652,-0.501401939,-0.598732344,-0.133756304,-0.066313997,-0.654459483
CCL2,1.06143796,0.227405804,0.816002721,-0.299635227,-1,0.084624887
HEATR9,-0.47180935,-0.389808682,0.009767726,-0.558870584,-0.344624226,-1
ZNHIT3,1.909588744,1.798642768,1.600726046,1.546567732,1.737715551,1.477758384
C17orf98,0.340733607,0.67523551,0.846347285,-1,-0.64662474,-1
FBXL20,0.569702435,1.015894719,0.598850891,0.500334615,0.267780261,0.288866298
CDC6,1.118379312,1.477813322,1.097853323,1.18877768,1.191081184,1.15858079
KRT222,-0.202823662,-0.341554287,0.139794468,-1,-1,-0.65660791
KRT10,1.427536887,0.92595172,1.009021605,-0.44334756,-0.447418116,-0.686303607
KRT17,-0.449251614,0.225081284,0.129516089,-0.281648203,-1,0.007591859
EIF1,2.64921087,2.993906517,2.677252485,2.707316766,2.705096036,2.472466356
ARL4D,1.945177176,2.315008783,2.193723317,1.483255943,1.728601253,1.414020607
MPP3,-0.152343504,-0.123704239,0.210249358,-1,-0.459058403,-1
PLEKHM1,0.199851293,0.73589063,0.570220537,-0.064380882,0.00123826,-0.048647403
ARL17B,0.270911329,1.152492686,0.8712348,-0.015266984,-0.055879766,0.127331187
ARL17A,0.273138836,0.908384117,0.843041076,0.000152547,-0.00716092,0.08935419
GOSR2,0.683619967,0.431879969,0.483549843,0.816678691,0.819838325,0.767680578
AC005670.2,1.405312277,1.124172301,1.082629826,1.456145912,1.42956075,1.396041842
HOXB9,0.599215636,0.304619616,0.475741064,-1,-0.716470345,-0.798432666
HOXB13,-0.064238236,-0.530263931,0.374869317,-0.273239225,-0.717612934,-0.725592787
