gene,Ctrl_1,Ctrl_2,2PN_1,2PN_2,2PN_3,2PN_4,2PN_5,2PN_6,2PN_7,2PN_8,2PN_9,2PN_10,3PN_1,3PN_2,3PN_3,3PN_4
PRKN,6.468321,6.666734,1.732102,1.067741,2.084116,4.113522,4.123651,0.467779,3.120187,4.10923,2.550659,4.768489,1.599714,6.13867,5.251713,0.1534364
TCFL5,6.520321,5.965247,0.7661204,0.4233448,1.013363,2.711597,2.540045,0.4371745,0.1706718,1.855027,0.4772614,0.8869986,2.056778,1.350491,2.86307,0.9480191
ERMAP,6.917579819,5.540262457,1.673108294,1.517486529,0.847684899,1.976862237,5.041757579,0.792139971,3.915365632,2.683228291,1.91615316,1.392291745,0.91501674,2.116650122,3.130771536,0.984091434
SLPI,6.36862,5.801538,0,0,0,0,0,0,0.7226346,0.3678827,0,1.41721,0.3659043,0,0,0
CPT1C,4.626844,7.099461,0.6243307,5.888356,0.6569641,3.343017,0.8615385,1.836533,3.682817,1.888222,2.368974,5.535294,1.032007,4.948659,3.234416,0.5828119
UBE2L5,5.429072,5.217917,0.1935786,0.3737201,0.7607025,1.051057,1.268852,0.9301872,0.9457161,1.321628,0.1152319,0.8182546,0.6243973,0.2895997,0.07976204,0.8482524
ADGRE1,3.678129,6.828459,0,0,1.55885,1.11181,0.4542813,0.5491462,1.443988,0.2365882,4.056834,0.4882599,0.2647304,0.8121917,2.498723,0
TPTE2,5.08568,4.057884,0.02808456,0.08341484,0.348516,4.089458,3.359573,0.5455522,0.05380601,2.061237,0.4458119,2.585308,1.120432,1.624595,0.6171705,0.1318556
PLA2G2A,3.649527672,4.16219207,0,0,0,0,0,0,0.693778226,0,0,0.393862947,0,0,0,0
ZC3H11B,3.094266428,2.880937971,0.064682167,0.019211454,0.668895642,0.819464479,0.593562157,0.304198767,0.458510664,0.309125193,0.526214009,0.595427889,0.340405271,0.451577289,0.408657949,0.26318889
ETV3L,2.771798289,2.586297654,0.305854249,0.181685462,0.316292082,0.150969987,0.150358985,0.656672556,0.029298654,0.052204306,0.030344397,0,0,0.061009013,0.336064052,0.52652239
PTGER3,2.179154058,3.037952284,0,0,0.309640545,0.06021283,0.152648716,0.16326677,0.573650231,0.261210811,0,0.568763125,0,0.769801909,0.073110381,0
SYT10,2.3429,2.623655,0,1.726763,0.05227968,0.8421879,0,0.1292154,0,0.2588643,0.1128511,0.4273859,0,1.449594,0.2083042,0
GLRA1,2.613601,2.285006,0,0,0.1910227,0.1953802,0.7351158,0.1079166,0.07583464,0.04504069,0.02618046,0,0.1567947,0.05263719,0.2537049,0
SYTL5,2.408661,2.48372,0,0,1.088648,0.8879666,0.1965273,0.463213,0.485069,0,0.6345882,1.126543,0,0.9303242,0.1464179,0
OR2T27,1.089129136,3.363537805,0.499839628,0.074229469,0.15506927,0.945765286,0.573353329,0.664337994,0.430929625,0.597201005,0.446310581,0.563417671,0,1.495551689,0.823814603,1.095136771
MYLK3,2.28705,2.051773,0,0,0.5366624,0.09928503,0.09888321,0.2899625,0.1618528,0.03089883,0.6166378,0.7992205,0.005122111,0.006018364,0,0
KRTAP22-2,0,2.811107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR6C3,2.410691,0.2964395,0,0,0,0,0,0,0,0,0,0,0,0,0.5658955,0
SAMSN1,1.226905,0.9499741,0,0,0,0,0,0.07598911,0,0,0,0.4188959,0,0.01235477,0,0.5428161
MMP13,0.6589129,1.488747,0,0,0,0,0,0,0.5865938,0,0,0.1278234,0,0,0,0
EYS,1.182542,0.8885412,0.07524971,0.145276,0.2995983,0.5819123,0.2157926,0.3192773,0.3135648,0.2311901,0.2090388,0.4806537,0.140523,0.4352936,0.5322671,0.08243517
NOS1,0.9071923,1.059098,0,0,0,0.1249161,0.08829133,0.8813725,0.4879758,0.25081,0.3790446,0.08281763,0.02910381,0.1221297,0.04036459,0.1149827
CCDC85A,0.8530457,1.104115,0.07806197,0.02318543,0,0.1798135,0.1023347,0.478857,0.2093778,0.1865346,0.3252766,0,0.1192702,0.5449881,0.06432923,0
DIRC1,0.4375175,1.475078,0.2208714,0,0.1370454,0,0,0.1354895,0.3385264,0,0,0.4149425,0,0,0,0
MYL1,0.9355153,0.7872089,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM156,0.4303906,0.6334284,0,0,0,0,0,0.2563125,0,0,0,0,0,0,0,0
