gene,4C_NC3,4C_NC2,4C_NC1,4C_KD1,4C_KD2,4C_KD3
L34079.1,46.94250248,40.70080202,21.41933197,62.43702691,19.59525217,57.71291112
ZNF428,5.529974174,4.06184872,9.6759897,15.01474668,16.0520264,17.50602823
MARK4,1.421688503,1.556975172,1.024296914,2.185151018,2.791092419,2.15701725
ERCC2,1.417780272,1.257418816,2.221880041,4.153454622,3.138716849,2.285107716
SYMPK,1.827154698,1.582916617,1.20879691,0.766215041,1.062869477,1.43569908
ARHGAP35,1.147105334,1.044609913,1.750265517,2.691118074,1.397490127,1.908206125
NPAS1,5.053252951,6.67518631,6.075384248,7.499452585,11.26641351,7.651645416
PLA2G4C,2.909964204,2.078109756,7.700619422,7.49201213,10.07244979,6.074300931
FAM83E,11.1307707,21.82500862,7.39974157,15.89882646,26.55786792,42.5472256
AC008687.4,0.045284157,0.641479322,0.911205697,0.480929115,1.808452693,0.130468547
PPFIA3,0.934625882,3.614047226,0.408836919,0.774999989,0.895293234,0.727772454
CCDC155,0.33964327,0.400938847,0.222857151,0.885074665,1.638968588,1.54936914
GFY,5.128889466,8.526340722,8.195445029,23.88381035,23.19099581,13.88131557
SLC17A7,2.09784587,2.068928801,0.441410221,0.752055681,1.431664036,0.49730105
FCGRT,0.451366375,0.277995481,0.326209997,0.926304186,1.920119738,1.696219904
MED25,1.489623155,1.406764905,1.402774683,5.517529017,6.981704893,4.182484085
IL4I1,4.876314234,7.855717756,5.26992405,5.791795817,7.31861597,6.274691719
AC011452.2,5.946636802,36.8296149,11.13097185,19.74606661,29.13307209,23.50793623
NAPSA,0.288675439,0,0,0.563374533,0.975483726,0.170606176
FAM71E1,15.70272462,19.25998217,14.86865972,13.36055763,27.24437793,21.7470619
LRRC4B,0.520916135,0.577495825,0.515175997,1.175939339,1.537622609,0.696030437
KLK15,0.694792315,0.590530899,0.547066113,1.844717183,0,0.100088584
ZNF677,15.5414182,11.73673844,9.0942231,27.74987062,29.82685593,22.39233662
PRKCG,37.00898091,24.27295817,14.78613791,50.70162911,45.85377854,78.61567864
OSCAR,0.496039706,4.324137005,1.769258362,6.79895716,2.285731475,0.2198683
CNOT3,4.931319271,6.638732609,5.099587604,6.988415766,8.042696322,8.352180287
CDC42EP5,0.255141114,0.240949238,0.074404892,1.304652388,2.886948118,1.633531325
TNNT1,13.09680236,16.58558562,23.638213,22.98261665,26.60106749,9.982926985
SYT5,0.841389751,4.030731248,1.244685916,3.159110708,4.154361662,0.954962161
PTPRH,1.519004691,1.918443937,1.328927883,5.874111628,6.413410059,3.638225781
