gene,fusion_MLT2A1_rpkm,fusion_transcript_rpkm,fusion_MLT2A1_log,fusion_transcript_log
MLT2A1_dup2844,7.330937592,7.681707096,2.874194506,2.941614752
MLT2A1_dup287,3.395963157,2.35436959,1.764245571,1.235953456
MLT2A1_dup2911,9.730232435,3.702247722,3.28262253,1.888791059
MLT2A1_dup2932,0.461563542,0.291875501,-1.112276533,-1.77164058
MLT2A1_dup2972,7.76472679,8.527787893,2.957120952,3.092340721
MLT2A1_dup2973,29.55110577,19.56585699,4.88518903,4.29034013
MLT2A1_dup2974,76.2077201,19.56585699,6.251884181,4.29034013
MLT2A1_dup3014,2.604661495,3.198019287,1.381649674,1.67762969
MLT2A1_dup3048,7.65607352,3.246483474,2.936793109,1.699322184
MLT2A1_dup3052,14.20033318,5.728062615,3.827954467,2.518299106
MLT2A1_dup3062,75.97825422,32.78935027,6.247533646,5.035199408
MLT2A1_dup3133,27.0552502,18.43993608,4.757890001,4.204839985
MLT2A1_dup3163,0.161219628,0.264208554,-2.623979702,-1.914800786
MLT2A1_dup3182,0.514780327,0.580466336,-0.955171349,-0.782232426
MLT2A1_dup3318,3.915405952,0.741193968,1.969530314,-0.43013182
MLT2A1_dup3319,0.408380167,0.741193968,-1.288486884,-0.43013182
MLT2A1_dup3334,0.229779861,0.115160857,-2.115410764,-3.10580409
MLT2A1_dup335,11.01466841,2.939283567,3.461485133,1.555955298
MLT2A1_dup3353,1.116055379,0.789317154,0.15970071,-0.339496372
MLT2A1_dup3401,41.84617468,13.53449346,5.387058317,3.75867558
MLT2A1_dup3448,12.8176186,7.196258582,3.680168893,2.847447492
MLT2A1_dup3449,58.51056867,7.196258582,5.870649991,2.847447492
MLT2A1_dup3456,22.92064121,6.374018171,4.518638441,2.672429454
MLT2A1_dup346,16.25416683,15.54609067,4.022826457,3.958572729
MLT2A1_dup349,0.316316992,0.076577703,-1.656003316,-3.688214125
MLT2A1_dup3502,1.119346399,1.297923612,0.163944866,0.37731659
MLT2A1_dup3505,4.087514886,1.156825043,2.031576893,0.211417266
MLT2A1_dup3525,27.05414176,9.291637881,4.757830896,3.216088189
MLT2A1_dup353,14.33866209,13.51634473,3.841939123,3.75673988
MLT2A1_dup3543,5.639594372,2.737072794,2.495847193,1.453160803
MLT2A1_dup3554,6.03900805,3.065225589,2.594550472,1.616463843
MLT2A1_dup3577,0.35698632,4.909655756,-1.482023639,2.295915691
MLT2A1_dup3650,5.490248027,3.393703857,2.457134076,1.763285724
MLT2A1_dup3653,13.77687861,8.985322272,3.784281867,3.167730801
MLT2A1_dup3661,7.563763482,9.898484853,2.919294976,3.307353453
MLT2A1_dup3711,151.4352631,48.99996465,7.242566906,5.614738246
MLT2A1_dup44,3.643777408,2.298471463,1.86583071,1.201302293
MLT2A1_dup455,1.184479272,0.290547031,0.245470438,-1.778199462
MLT2A1_dup46,11.40197406,4.451334394,3.511338244,2.154561951
MLT2A1_dup493,57.44290868,42.84665567,5.844082013,5.421144367
MLT2A1_dup497,0.154434098,0.173535016,-2.685625068,-2.518411585
MLT2A1_dup501,0.625090397,0,-0.675557122,-9.965784285
MLT2A1_dup527,16.49809297,18.14604097,4.04431481,4.181662418
MLT2A1_dup537,4.210814588,4.496577255,2.074441928,2.169148063
MLT2A1_dup621,2.243536093,0.321550178,1.166417296,-1.632404484
MLT2A1_dup622,0.545724996,0.321550178,-0.87111276,-1.632404484
MLT2A1_dup723,3.123873962,0.93384064,1.643798002,-0.097207642
MLT2A1_dup73,18.05573078,11.2341413,4.174464807,3.489946364
MLT2A1_dup816,2.005568736,1.913446736,1.004730577,0.936927522
MLT2A1_dup821,6.070859626,3.609839268,2.602138438,1.852334202
MLT2A1_dup833,7.226554223,0.90114761,2.853507527,-0.148564587
MLT2A1_dup834,2.663193382,0.90114761,1.413698805,-0.148564587
MLT2A1_dup872,3.009153214,10.95932957,1.58983692,3.454219275
MLT2A1_dup9,2.381916848,1.912291017,1.25272861,0.936056328
MLT2A1_dup902,0.589027489,0.17939036,-0.761145924,-2.470805848
MLT2A1_dup944,1.332340055,1.639974265,0.415044773,0.714552613
MLT2A1_dup960,2.347209326,2.595839144,1.23156102,1.376756652
