TE,Ctrl_1,Ctrl_2,2PN_1,2PN_2,2PN_3,2PN_4,2PN_5,2PN_6,2PN_7,2PN_8,2PN_9,2PN_10,3PN_1,3PN_2,3PN_3,3PN_4
dup1675,1.136140736,3.240411552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup628,1.157693542,3.171759315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup2998,2.557363041,1.685359788,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup1350,2.145480051,2.084008524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup2326,2.014338239,2.201202158,0,0,0,0,0.138378506,0,0,0,0,0,0,0,0,0
dup2605,1.630492049,2.428267642,0,0,0,0.063491271,0,0,0,0,0,0,0,0,0,0
dup1471,2.359856555,1.496887849,0,0,0,0,0,0,0,0,0.074969898,0,0,0,0,0
dup3168,1.743628232,1.933093829,0,0,0,0,0,0,0.080420271,0,0,0,0,0,0,0
dup1469,1.009637671,2.603784768,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup507,2.270586373,1.316353374,0,0,0,0,0,0.199532192,0,0,0,0,0.158951014,0,0,0
dup1807,1.925084826,1.642041434,0,0,0.169465531,0,0.667415198,0,0,0,0.073732188,0.11239281,0,0,0,0
dup2517,1.291261142,2.250729206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup3169,2.272281473,1.26104686,0,0,0,0,0,0,0.082345224,0,0,0.126740828,0,0,0,0.113811512
dup2304,1.756420087,1.774841391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup1808,0.580234227,2.859987,0,0,0,0,0,0,0,0.11611691,0,0,0,0,0,0
dup1136,1.506839213,1.89691087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup1874,1.412023991,1.923873874,0,0,0,0,0,0,0,0,0,0,0,0,0.084511362,0
dup2728,2.253031247,0.94914472,0,0,0,0,0,0.118481907,0,0,0,0.166236807,0,0,0,0
dup1783,1.714905674,1.44232776,0,0,0,0.064475632,0,0,0,0,0,0,0,0,0,0
dup624,1.149209517,1.933093829,0,0,0,0.129621141,0,0,0,0,0,0,0.158125295,0,0.291728832,0
dup1303,1.325027658,1.68292738,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup744,1.356509935,1.644884385,0,0,0,0.104401965,0,0,0,0,0,0,0,0,0,0
dup3332,1.343956624,1.638247892,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup2949,1.151452606,1.528797197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup1363,1.151163005,1.521619745,0,0,0,0,0,0,0,0.104435128,0,0,0,0,0,0
dup1669,0.953546689,1.668644067,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup2962,2.113401633,0.490924224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup840,0.368801773,2.214457913,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup1214,1.805187626,0.73306193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup1869,0.04191414,2.473328798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup960,0.437042233,2.047538375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup110,0.985402369,1.470409578,0,0,0.080014905,0,0,0,0,0,0,0,0,0,0.083382034,0
dup927,1.388461989,0.989613984,0,0,0,0,0,0.054547345,0,0,0,0.357154026,0,0,0,0
dup615,1.107632688,1.265046861,0,0,0,0,0.265090439,0,0,0,0,0,0,0,0,0
dup2295,0.391198642,1.969868981,0,0,0.184239449,0,0,0,0,0,0,0,0,0,0,0
dup2688,1.230382825,1.129398168,0,0,0,0.067075456,0,0,0.083230657,0.279055154,0,0,0,0,0,0
dup669,0.927302285,1.41789057,0,0,0,0,0,0,0,0,0.071702861,0,0,0,0,0
dup2824,0.966976924,1.335643998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup864,2.078863914,0.138613038,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup1651,1.111827719,1.093471679,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup695,1.63974384,0.462766753,0,0,0,0,0,0,0,0,0,0.22268482,0,0,0,0
dup1712,0.948895242,1.112555575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup3192,1.252969563,0.753867431,0,0,0,0,0,0.061530459,0,0,0,0,0,0,0,0
dup279,0.741911639,1.212362864,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup1422,0.882913601,1.042004262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup668,0.92036061,0.877314401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup2558,1.432740203,0.350367321,0,0,0,0,0,0.129307665,0,0,0,0,0,0,0,0
dup2663,0.96090052,0.817745658,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup866,0.305134941,1.440466692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup3227,0.806847199,0.937803836,0,0,0,0,0,0,0,0,0,0.11455421,0,0,0,0
dup2050,1.725009086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup595,0.926992225,0.759739816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup1446,0.611058344,1.039096343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
